      Step     Time          Energy          fmax
FIRE:    0 01:43:27    -3282.129391        0.067244
FIRE:    1 01:43:38    -3282.129834        0.067265
FIRE:    2 01:43:51    -3282.130717        0.067247
FIRE:    3 01:44:06    -3282.132029        0.067123
FIRE:    4 01:44:22    -3282.133766        0.066845
FIRE:    5 01:44:33    -3282.135908        0.066378
FIRE:    6 01:44:43    -3282.138443        0.065736
FIRE:    7 01:45:00    -3282.141353        0.064999
FIRE:    8 01:45:10    -3282.144983        0.064115
FIRE:    9 01:45:20    -3282.149456        0.063092
FIRE:   10 01:45:36    -3282.154862        0.097809
FIRE:   11 01:45:52    -3282.160429        0.433012
FIRE:   12 01:46:03    -3282.153452        1.738498
FIRE:   13 01:46:10    -3282.167445        0.522690
FIRE:   14 01:46:20    -3282.168220        0.366721
FIRE:   15 01:46:31    -3282.168950        0.099788
FIRE:   16 01:46:37    -3282.168956        0.189638
FIRE:   17 01:46:50    -3282.169000        0.174025
FIRE:   18 01:47:00    -3282.169077        0.144787
FIRE:   19 01:47:12    -3282.169172        0.108410
FIRE:   20 01:47:26    -3282.169267        0.065904
FIRE:   21 01:47:39    -3282.169352        0.059200
FIRE:   22 01:47:47    -3282.169425        0.059183
FIRE:   23 01:47:59    -3282.169496        0.086058
FIRE:   24 01:48:09    -3282.169590        0.111486
FIRE:   25 01:48:17    -3282.169727        0.118605
FIRE:   26 01:48:26    -3282.169923        0.102606
FIRE:   27 01:48:46    -3282.170172        0.062515
FIRE:   28 01:48:56    -3282.170457        0.059057
FIRE:   29 01:49:03    -3282.170774        0.067959
FIRE:   30 01:49:14    -3282.171169        0.088638
FIRE:   31 01:49:24    -3282.171692        0.065773
FIRE:   32 01:49:38    -3282.172324        0.058649
FIRE:   33 01:49:45    -3282.173053        0.081249
FIRE:   34 01:50:01    -3282.173978        0.065698
FIRE:   35 01:50:09    -3282.175097        0.057903
FIRE:   36 01:50:25    -3282.176426        0.071271
FIRE:   37 01:50:34    -3282.178067        0.057043
FIRE:   38 01:50:44    -3282.180014        0.067309
FIRE:   39 01:50:52    -3282.182348        0.076904
FIRE:   40 01:51:04    -3282.185154        0.054959
FIRE:   41 01:51:12    -3282.188480        0.054030
FIRE:   42 01:51:20    -3282.192416        0.059446
FIRE:   43 01:51:36    -3282.196994        0.215121
FIRE:   44 01:51:53    -3282.201565        0.860232
FIRE:   45 01:52:01    -3282.147992        3.447887
FIRE:   46 01:52:17    -3282.207408        1.346293
FIRE:   47 01:52:28    -3282.207860        0.934359
FIRE:   48 01:52:41    -3282.208281        0.212106
FIRE:   49 01:52:53    -3282.208286        0.599957
FIRE:   50 01:53:05    -3282.208315        0.549446
FIRE:   51 01:53:21    -3282.208367        0.453128
FIRE:   52 01:53:37    -3282.208430        0.319967
FIRE:   53 01:53:46    -3282.208495        0.162514
FIRE:   54 01:53:57    -3282.208553        0.049092
