MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  02:23:05    -3282.238967       0.0238     --------     0.206598          4
MinModeTranslate:    0  02:23:05    -3282.238967       0.0238     0.050000     0.206598          4
MinModeTranslate:    1  02:23:24    -3282.234693       0.0261     --------     0.136907          4
MinModeTranslate:    1  02:23:24    -3282.234693       0.0261     0.050000     0.136907          4
MinModeTranslate:    2  02:23:58    -3282.230104       0.0274     --------     0.098735          4
MinModeTranslate:    2  02:23:58    -3282.230104       0.0274     0.050000     0.098735          4
MinModeTranslate:    3  02:24:26    -3282.225357       0.0281     --------     0.075729          4
MinModeTranslate:    3  02:24:26    -3282.225357       0.0281     0.050000     0.075729          4
MinModeTranslate:    4  02:24:44    -3282.220521       0.0286     --------     0.059318          4
MinModeTranslate:    4  02:24:44    -3282.220521       0.0286     0.050000     0.059318          4
MinModeTranslate:    5  02:25:03    -3282.215624       0.0289     --------     0.049175          4
MinModeTranslate:    5  02:25:03    -3282.215624       0.0289     0.050000     0.049175          4
MinModeTranslate:    6  02:25:25    -3282.210682       0.0291     --------     0.040499          4
MinModeTranslate:    6  02:25:25    -3282.210682       0.0291     0.050000     0.040499          4
MinModeTranslate:    7  02:25:45    -3282.205710       0.0292     --------     0.033607          4
MinModeTranslate:    7  02:25:46    -3282.205710       0.0292     0.050000     0.033607          4
MinModeTranslate:    8  02:26:05    -3282.200717       0.0293     --------     0.027904          4
MinModeTranslate:    8  02:26:05    -3282.200717       0.0293     0.050000     0.027904          4
MinModeTranslate:    9  02:26:26    -3282.195703       0.0294     --------     0.023308          4
MinModeTranslate:    9  02:26:26    -3282.195703       0.0294     0.050000     0.023308          4
MinModeTranslate:   10  02:26:46    -3282.190663       0.0296     --------     0.018170          4
MinModeTranslate:   10  02:26:46    -3282.190663       0.0296     0.050000     0.018170          4
MinModeTranslate:   11  02:27:05    -3282.185595       0.0297     --------     0.012576          4
MinModeTranslate:   11  02:27:05    -3282.185595       0.0297     0.050000     0.012576          4
MinModeTranslate:   12  02:27:22    -3282.180496       0.0299     --------     0.005222          4
MinModeTranslate:   12  02:27:22    -3282.180496       0.0299     0.050000     0.005222          4
MinModeTranslate:   13  02:27:41    -3282.175372       0.1467     --------    -0.004218          4
MinModeTranslate:   13  02:27:42    -3282.175372       0.1467     0.024081    -0.004218          4
MinModeTranslate:   14  02:28:01    -3282.172858       0.4874     --------    -0.006292          4
MinModeTranslate:   14  02:28:03    -3282.172858       0.4874     0.050000    -0.006292          4
MinModeTranslate:   15  02:28:21    -3282.165334       1.0453     --------    -0.008616          4
MinModeTranslate:   15  02:28:22    -3282.165334       1.0453     0.050000    -0.008616          4
MinModeTranslate:   16  02:28:42    -3282.163715       0.9210     --------    -0.010835          4
MinModeTranslate:   16  02:28:43    -3282.163715       0.9210     0.007807    -0.010835          4
MinModeTranslate:   17  02:29:05    -3282.168718       0.1138     --------    -0.013399          4
MinModeTranslate:   17  02:29:06    -3282.168718       0.1138     0.011999    -0.013399          4
MinModeTranslate:   18  02:29:27    -3282.169335       0.0309     --------     0.008776          4
MinModeTranslate:   18  02:29:27    -3282.169335       0.0309     0.050000     0.008776          4
MinModeTranslate:   19  02:29:48    -3282.163971       0.2299     --------    -0.008934          4
MinModeTranslate:   19  02:29:49    -3282.163971       0.2299     0.033327    -0.008934          4
MinModeTranslate:   20  02:30:09    -3282.160361       0.4817     --------    -0.019699          4
MinModeTranslate:   20  02:30:10    -3282.160361       0.4817     0.041479    -0.019699          4
MinModeTranslate:   21  02:30:28    -3282.153070       0.8295     --------    -0.033529          4
MinModeTranslate:   21  02:30:29    -3282.153070       0.8295     0.050000    -0.033529          4
MinModeTranslate:   22  02:30:46    -3282.149515       0.5081     --------    -0.052228          4
MinModeTranslate:   22  02:30:47    -3282.149515       0.5081     0.007374    -0.052228          4
MinModeTranslate:   23  02:31:02    -3282.153348       0.1722     --------    -0.055093          4
MinModeTranslate:   23  02:31:03    -3282.153348       0.1722     0.005278    -0.055093          4
MinModeTranslate:   24  02:31:21    -3282.153977       0.0776     --------    -0.051759          4
MinModeTranslate:   24  02:31:22    -3282.153977       0.0776     0.015043    -0.051759          4
MinModeTranslate:   25  02:31:39    -3282.153982       0.2327     --------    -0.024017          4
MinModeTranslate:   25  02:31:40    -3282.153982       0.2327     0.039960    -0.024017          4
