      Step     Time          Energy          fmax
FIRE:    0 01:21:38    -3276.225611        5.174920
FIRE:    1 01:21:43    -3277.562227        4.236017
FIRE:    2 01:21:57    -3278.420354        3.864631
FIRE:    3 01:22:07    -3279.160824        3.261311
FIRE:    4 01:22:15    -3279.791496        2.839176
FIRE:    5 01:22:25    -3280.266860        2.670078
FIRE:    6 01:22:30    -3280.568304        3.451060
FIRE:    7 01:22:38    -3280.774948        4.257058
FIRE:    8 01:22:45    -3280.996447        3.523936
FIRE:    9 01:22:57    -3281.202034        4.061507
FIRE:   10 01:23:09    -3281.302885        3.206753
FIRE:   11 01:23:16    -3281.324654        2.153925
FIRE:   12 01:23:22    -3281.350355        2.335147
FIRE:   13 01:23:28    -3281.442327        1.389594
FIRE:   14 01:23:36    -3281.531433        0.710481
FIRE:   15 01:23:42    -3281.571938        1.969121
FIRE:   16 01:23:56    -3281.633330        1.805348
FIRE:   17 01:24:07    -3281.690281        0.829893
FIRE:   18 01:24:15    -3281.693603        1.025399
FIRE:   19 01:24:23    -3281.700501        0.899511
FIRE:   20 01:24:28    -3281.711928        0.677188
FIRE:   21 01:24:41    -3281.724328        0.594629
FIRE:   22 01:24:48    -3281.734799        0.490441
FIRE:   23 01:24:57    -3281.742710        0.476490
FIRE:   24 01:25:04    -3281.749797        0.735843
FIRE:   25 01:25:17    -3281.758254        0.823032
FIRE:   26 01:25:26    -3281.769797        0.692563
FIRE:   27 01:25:38    -3281.782493        0.343422
FIRE:   28 01:25:48    -3281.792827        0.358144
FIRE:   29 01:25:59    -3281.801514        0.489329
FIRE:   30 01:26:10    -3281.813940        0.574722
FIRE:   31 01:26:20    -3281.831921        0.292651
FIRE:   32 01:26:31    -3281.850934        0.275896
FIRE:   33 01:26:43    -3281.870244        0.553421
FIRE:   34 01:26:55    -3281.893872        0.256638
FIRE:   35 01:27:02    -3281.912038        0.422423
FIRE:   36 01:27:07    -3281.932161        0.264735
FIRE:   37 01:27:20    -3281.951296        0.464499
FIRE:   38 01:27:31    -3281.970692        1.022822
FIRE:   39 01:27:40    -3281.934212        3.276199
FIRE:   40 01:27:49    -3281.999281        0.737256
FIRE:   41 01:28:03    -3282.001192        0.545485
FIRE:   42 01:28:14    -3282.003432        0.210980
FIRE:   43 01:28:23    -3282.004452        0.213601
FIRE:   44 01:28:32    -3282.004606        0.453055
FIRE:   45 01:28:39    -3282.004840        0.419040
FIRE:   46 01:28:49    -3282.005259        0.359049
FIRE:   47 01:29:04    -3282.005778        0.279647
FIRE:   48 01:29:15    -3282.006302        0.184954
FIRE:   49 01:29:27    -3282.006761        0.173786
FIRE:   50 01:29:35    -3282.007134        0.170947
FIRE:   51 01:29:47    -3282.007461        0.188247
FIRE:   52 01:29:55    -3282.007860        0.255167
FIRE:   53 01:30:03    -3282.008438        0.285578
FIRE:   54 01:30:15    -3282.009285        0.268108
FIRE:   55 01:30:23    -3282.010410        0.196589
FIRE:   56 01:30:37    -3282.011707        0.131170
FIRE:   57 01:30:44    -3282.013064        0.129219
FIRE:   58 01:30:55    -3282.014597        0.206248
FIRE:   59 01:31:08    -3282.016608        0.193684
FIRE:   60 01:31:15    -3282.019114        0.102028
FIRE:   61 01:31:25    -3282.021830        0.157564
FIRE:   62 01:31:33    -3282.025025        0.199143
FIRE:   63 01:31:49    -3282.028993        0.096931
FIRE:   64 01:32:03    -3282.033309        0.172081
FIRE:   65 01:32:11    -3282.038535        0.090584
FIRE:   66 01:32:21    -3282.044240        0.199754
FIRE:   67 01:32:27    -3282.051002        0.089337
FIRE:   68 01:32:36    -3282.058399        0.154670
FIRE:   69 01:32:43    -3282.066623        0.285700
FIRE:   70 01:32:56    -3282.075831        0.348189
FIRE:   71 01:33:05    -3282.085189        0.594104
FIRE:   72 01:33:17    -3282.090047        1.270717
FIRE:   73 01:33:25    -3282.099276        0.083771
FIRE:   74 01:33:31    -3282.093234        1.085990
FIRE:   75 01:33:43    -3282.096148        0.840344
FIRE:   76 01:33:56    -3282.099515        0.396485
FIRE:   77 01:34:07    -3282.100497        0.151143
FIRE:   78 01:34:17    -3282.100535        0.141559
FIRE:   79 01:34:29    -3282.100605        0.123044
FIRE:   80 01:34:43    -3282.100701        0.100162
FIRE:   81 01:35:00    -3282.100815        0.081308
FIRE:   82 01:35:06    -3282.100939        0.081153
FIRE:   83 01:35:18    -3282.101070        0.080966
FIRE:   84 01:35:32    -3282.101209        0.080745
FIRE:   85 01:35:44    -3282.101378        0.080465
FIRE:   86 01:35:52    -3282.101593        0.086694
FIRE:   87 01:36:01    -3282.101874        0.091733
FIRE:   88 01:36:12    -3282.102236        0.079681
FIRE:   89 01:36:23    -3282.102687        0.078480
FIRE:   90 01:36:32    -3282.103228        0.077670
FIRE:   91 01:36:43    -3282.103869        0.076680
FIRE:   92 01:36:52    -3282.104654        0.075482
FIRE:   93 01:37:02    -3282.105633        0.074044
FIRE:   94 01:37:10    -3282.106814        0.072325
FIRE:   95 01:37:19    -3282.108213        0.071047
FIRE:   96 01:37:36    -3282.109916        0.070698
FIRE:   97 01:37:47    -3282.111957        0.070412
FIRE:   98 01:38:00    -3282.114370        0.070206
FIRE:   99 01:38:09    -3282.117261        0.069778
FIRE:  100 01:38:24    -3282.120657        0.069134
FIRE:  101 01:38:36    -3282.124669        0.068309
FIRE:  102 01:38:45    -3282.129391        0.067244
