MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  02:34:34    -3136.054476       0.1147     --------     0.594177          4
MinModeTranslate:    0  02:34:34    -3136.054476       0.1147     0.050000     0.594177          4
MinModeTranslate:    1  02:34:54    -3136.040250       0.1184     --------     0.297052          4
MinModeTranslate:    1  02:34:54    -3136.040250       0.1184     0.050000     0.297052          4
MinModeTranslate:    2  02:35:15    -3136.026303       0.1173     --------     0.189820          4
MinModeTranslate:    2  02:35:15    -3136.026303       0.1173     0.050000     0.189820          4
MinModeTranslate:    3  02:35:35    -3136.012850       0.1155     --------     0.148996          4
MinModeTranslate:    3  02:35:35    -3136.012850       0.1155     0.050000     0.148996          4
MinModeTranslate:    4  02:35:55    -3135.999800       0.1139     --------     0.124120          4
MinModeTranslate:    4  02:35:55    -3135.999800       0.1139     0.050000     0.124120          4
MinModeTranslate:    5  02:36:20    -3135.987048       0.1128     --------     0.113844          4
MinModeTranslate:    5  02:36:20    -3135.987048       0.1128     0.050000     0.113844          4
MinModeTranslate:    6  02:36:45    -3135.974507       0.1120     --------     0.105041          4
MinModeTranslate:    6  02:36:45    -3135.974507       0.1120     0.050000     0.105041          4
MinModeTranslate:    7  02:37:08    -3135.962124       0.1111     --------     0.093225          4
MinModeTranslate:    7  02:37:08    -3135.962124       0.1111     0.050000     0.093225          4
MinModeTranslate:    8  02:37:34    -3135.949874       0.1102     --------     0.076963          4
MinModeTranslate:    8  02:37:34    -3135.949874       0.1102     0.050000     0.076963          4
MinModeTranslate:    9  02:37:54    -3135.937753       0.1093     --------     0.063293          4
MinModeTranslate:    9  02:37:54    -3135.937753       0.1093     0.050000     0.063293          4
MinModeTranslate:   10  02:38:11    -3135.925754       0.1080     --------     0.045704          4
MinModeTranslate:   10  02:38:11    -3135.925754       0.1080     0.050000     0.045704          4
MinModeTranslate:   11  02:38:29    -3135.913904       0.1063     --------     0.018345          4
MinModeTranslate:   11  02:38:29    -3135.913904       0.1063     0.050000     0.018345          4
MinModeTranslate:   12  02:38:50    -3135.902234       0.3695     --------    -0.013285          4
MinModeTranslate:   12  02:38:51    -3135.902234       0.3695     0.050000    -0.013285          4
MinModeTranslate:   13  02:39:10    -3135.896967       0.5611     --------    -0.079416          4
MinModeTranslate:   13  02:39:11    -3135.896967       0.5611     0.050000    -0.079416          4
MinModeTranslate:   14  02:39:28    -3135.896315       0.2027     --------    -0.152579          4
MinModeTranslate:   14  02:39:29    -3135.896315       0.2027     0.036685    -0.152579          4
MinModeTranslate:   15  02:39:47    -3135.900024       0.8871     --------    -0.160614          4
MinModeTranslate:   15  02:39:49    -3135.900024       0.8871     0.050000    -0.160614          4
MinModeTranslate:   16  02:40:07    -3135.905953       0.4296     --------    -0.190670          4
MinModeTranslate:   16  02:40:08    -3135.905953       0.4296     0.030922    -0.190670          4
MinModeTranslate:   17  02:40:31    -3135.909701       0.3008     --------    -0.281096          4
MinModeTranslate:   17  02:40:32    -3135.909701       0.3008     0.050000    -0.281096          4
MinModeTranslate:   18  02:40:52    -3135.912296       0.3956     --------    -0.390056          4
MinModeTranslate:   18  02:40:54    -3135.912296       0.3956     0.031637    -0.390056          4
MinModeTranslate:   19  02:41:21    -3135.914564       0.7054     --------    -0.484049          4
MinModeTranslate:   19  02:41:22    -3135.914564       0.7054     0.049260    -0.484049          4
MinModeTranslate:   20  02:41:41    -3135.913145       0.5609     --------    -0.795445          4
MinModeTranslate:   20  02:41:43    -3135.913145       0.5609     0.024797    -0.795445          4
MinModeTranslate:   21  02:42:01    -3135.917067       0.7001     --------    -1.241463          4
MinModeTranslate:   21  02:42:02    -3135.917067       0.7001     0.032966    -1.241463          4
MinModeTranslate:   22  02:42:22    -3135.922319       0.3230     --------    -2.190818          4
MinModeTranslate:   22  02:42:24    -3135.922319       0.3230     0.031993    -2.190818          4
MinModeTranslate:   23  02:42:45    -3135.927246       0.6011     --------    -3.552858          4
MinModeTranslate:   23  02:42:46    -3135.927246       0.6011     0.027182    -3.552858          4
MinModeTranslate:   24  02:43:05    -3135.933493       0.3231     --------    -4.671070          4
MinModeTranslate:   24  02:43:07    -3135.933493       0.3231     0.026464    -4.671070          4
MinModeTranslate:   25  02:43:38    -3135.940562       0.2333     --------    -5.845040          4
MinModeTranslate:   25  02:43:39    -3135.940562       0.2333     0.032146    -5.845040          4
MinModeTranslate:   26  02:43:58    -3135.947680       0.6911     --------    -6.905040          4
MinModeTranslate:   26  02:43:59    -3135.947680       0.6911     0.050000    -6.905040          4
MinModeTranslate:   27  02:44:17    -3135.958432       0.3834     --------    -7.244918          4
MinModeTranslate:   27  02:44:18    -3135.958432       0.3834     0.050000    -7.244918          4
MinModeTranslate:   28  02:44:38    -3135.972124       0.3697     --------    -7.232820          4
MinModeTranslate:   28  02:44:39    -3135.972124       0.3697     0.010277    -7.232820          4
MinModeTranslate:   29  02:45:08    -3135.972988       0.5674     --------    -7.252278          4
MinModeTranslate:   29  02:45:10    -3135.972988       0.5674     0.022903    -7.252278          4
MinModeTranslate:   30  02:45:32    -3135.971538       0.3576     --------    -6.002160          4
MinModeTranslate:   30  02:45:33    -3135.971538       0.3576     0.050000    -6.002160          4
MinModeTranslate:   31  02:45:54    -3135.974639       0.5897     --------    -3.022837          4
MinModeTranslate:   31  02:45:55    -3135.974639       0.5897     0.026347    -3.022837          4
