      Step     Time          Energy          fmax
FIRE:    0 01:43:24    -2550.593351        0.448310
FIRE:    1 01:43:32    -2550.593588        0.493462
FIRE:    2 01:43:39    -2550.594135        0.277026
FIRE:    3 01:43:52    -2550.594784        0.513655
FIRE:    4 01:43:59    -2550.595804        0.203682
FIRE:    5 01:44:10    -2550.596936        0.410526
FIRE:    6 01:44:19    -2550.598242        0.474626
FIRE:    7 01:44:32    -2550.599803        0.231922
FIRE:    8 01:44:39    -2550.601685        0.234490
FIRE:    9 01:44:48    -2550.603941        0.592890
FIRE:   10 01:44:59    -2550.606398        1.749898
FIRE:   11 01:45:04    -2550.607532        4.188949
FIRE:   12 01:45:15    -2550.609729        0.354323
FIRE:   13 01:45:25    -2550.608300        5.324726
FIRE:   14 01:45:33    -2550.609154        3.475437
FIRE:   15 01:45:45    -2550.609977        0.781993
FIRE:   16 01:45:57    -2550.609941        1.753276
FIRE:   17 01:46:10    -2550.609973        1.651516
FIRE:   18 01:46:23    -2550.610030        1.451840
FIRE:   19 01:46:37    -2550.610098        1.162469
FIRE:   20 01:46:50    -2550.610164        0.797077
FIRE:   21 01:47:00    -2550.610216        0.377195
FIRE:   22 01:47:08    -2550.610251        0.251453
FIRE:   23 01:47:19    -2550.610277        0.645694
FIRE:   24 01:47:33    -2550.610279        0.635688
FIRE:   25 01:47:45    -2550.610283        0.615881
FIRE:   26 01:47:50    -2550.610289        0.586690
FIRE:   27 01:47:58    -2550.610296        0.548750
FIRE:   28 01:48:11    -2550.610305        0.502915
FIRE:   29 01:48:17    -2550.610315        0.450268
FIRE:   30 01:48:22    -2550.610326        0.392128
FIRE:   31 01:48:32    -2550.610339        0.323308
FIRE:   32 01:48:47    -2550.610356        0.244471
FIRE:   33 01:49:02    -2550.610375        0.169829
FIRE:   34 01:49:12    -2550.610398        0.169785
FIRE:   35 01:49:25    -2550.610426        0.193869
FIRE:   36 01:49:36    -2550.610460        0.264490
FIRE:   37 01:49:44    -2550.610501        0.314164
FIRE:   38 01:49:53    -2550.610553        0.332886
FIRE:   39 01:50:00    -2550.610616        0.311983
FIRE:   40 01:50:14    -2550.610695        0.246687
FIRE:   41 01:50:23    -2550.610789        0.169089
FIRE:   42 01:50:29    -2550.610901        0.168894
FIRE:   43 01:50:37    -2550.611037        0.252678
FIRE:   44 01:50:45    -2550.611202        0.281067
FIRE:   45 01:50:56    -2550.611404        0.203124
FIRE:   46 01:51:05    -2550.611646        0.161206
FIRE:   47 01:51:16    -2550.611935        0.225442
FIRE:   48 01:51:26    -2550.612285        0.208210
FIRE:   49 01:51:34    -2550.612704        0.139427
FIRE:   50 01:51:48    -2550.613202        0.236608
FIRE:   51 01:51:53    -2550.613796        0.135509
FIRE:   52 01:52:01    -2550.614495        0.221441
FIRE:   53 01:52:17    -2550.615316        0.164451
FIRE:   54 01:52:29    -2550.616269        0.214263
FIRE:   55 01:52:39    -2550.617361        0.265639
FIRE:   56 01:52:54    -2550.618594        0.309337
FIRE:   57 01:53:09    -2550.619947        0.464402
FIRE:   58 01:53:16    -2550.621297        1.223166
FIRE:   59 01:53:21    -2550.584813        3.190180
FIRE:   60 01:53:25    -2549.999811       12.259817
FIRE:   61 01:53:32    -2549.813730        5.783748
FIRE:   62 01:53:40    -2549.764764        4.486008
FIRE:   63 01:53:51    -2549.664303        4.304922
FIRE:   64 01:53:57    -2549.506265        4.386724
FIRE:   65 01:54:10    -2549.287199        5.118748
FIRE:   66 01:54:18    -2549.010526        5.248249
FIRE:   67 01:54:34    -2548.676591        4.559021
FIRE:   68 01:54:47    -2548.280969        4.531445
FIRE:   69 01:55:00    -2547.773141        4.468017
FIRE:   70 01:55:09    -2547.145631        4.352457
FIRE:   71 01:55:19    -2546.414080        4.065098
FIRE:   72 01:55:30    -2545.676990        3.603535
FIRE:   73 01:55:42    -2545.134502        3.425597
