      Step     Time          Energy          fmax
FIRE:    0 03:09:26    -2545.704469        5.692853
FIRE:    1 03:09:48    -2546.406956        3.604732
FIRE:    2 03:10:05    -2546.912292        3.315404
FIRE:    3 03:10:30    -2547.286563        3.326914
FIRE:    4 03:11:00    -2547.556660        3.464719
FIRE:    5 03:11:10    -2547.785485        3.567737
FIRE:    6 03:11:34    -2547.964910        3.456589
FIRE:    7 03:11:50    -2548.070498        5.125553
FIRE:    8 03:12:06    -2548.130050        4.676329
FIRE:    9 03:12:19    -2548.171189        2.554316
FIRE:   10 03:12:33    -2548.205305        4.742252
FIRE:   11 03:12:51    -2548.254365        3.003169
FIRE:   12 03:13:07    -2548.320721        2.099311
FIRE:   13 03:13:28    -2548.392991        2.188736
FIRE:   14 03:13:51    -2548.453952        2.276820
FIRE:   15 03:14:11    -2548.493905        2.499428
FIRE:   16 03:14:29    -2548.530872        2.635285
FIRE:   17 03:14:50    -2548.564621        2.453269
FIRE:   18 03:15:10    -2548.607357        1.775580
FIRE:   19 03:15:25    -2548.669319        3.319017
FIRE:   20 03:15:33    -2548.675147        2.890260
FIRE:   21 03:15:43    -2548.685502        2.137537
FIRE:   22 03:16:00    -2548.699053        1.229869
FIRE:   23 03:16:14    -2548.714964        0.773135
FIRE:   24 03:16:23    -2548.732540        0.911762
FIRE:   25 03:16:39    -2548.750455        1.149234
FIRE:   26 03:16:56    -2548.767577        1.280826
FIRE:   27 03:17:13    -2548.785530        1.284463
FIRE:   28 03:17:26    -2548.804918        1.025385
FIRE:   29 03:17:38    -2548.826436        0.686421
FIRE:   30 03:17:57    -2548.851704        0.807611
FIRE:   31 03:18:08    -2548.883858        1.107407
FIRE:   32 03:18:19    -2548.924588        1.215396
FIRE:   33 03:18:31    -2548.974917        0.730318
FIRE:   34 03:18:44    -2549.033192        0.760342
FIRE:   35 03:18:53    -2549.096584        1.111709
FIRE:   36 03:19:07    -2549.164082        0.558582
FIRE:   37 03:19:19    -2549.235774        0.772097
FIRE:   38 03:19:32    -2549.299766        0.818728
FIRE:   39 03:19:43    -2549.351767        1.390460
FIRE:   40 03:19:59    -2549.386828        2.521852
FIRE:   41 03:20:14    -2549.405010        0.420216
FIRE:   42 03:20:34    -2549.395841        2.548657
FIRE:   43 03:20:57    -2549.403681        1.714214
FIRE:   44 03:21:09    -2549.411173        0.437993
FIRE:   45 03:21:21    -2549.411838        0.930942
FIRE:   46 03:21:37    -2549.412168        0.870467
FIRE:   47 03:21:53    -2549.412772        0.753427
FIRE:   48 03:22:06    -2549.413551        0.588089
FIRE:   49 03:22:19    -2549.414394        0.388428
FIRE:   50 03:22:28    -2549.415212        0.340105
FIRE:   51 03:22:39    -2549.415975        0.339006
FIRE:   52 03:22:47    -2549.416720        0.337805
FIRE:   53 03:23:08    -2549.417625        0.440306
FIRE:   54 03:23:26    -2549.418841        0.492289
FIRE:   55 03:23:41    -2549.420506        0.462470
FIRE:   56 03:23:48    -2549.422658        0.344798
FIRE:   57 03:24:00    -2549.425195        0.331198
FIRE:   58 03:24:12    -2549.428005        0.329878
FIRE:   59 03:24:33    -2549.431252        0.426984
FIRE:   60 03:24:48    -2549.435341        0.390736
FIRE:   61 03:25:03    -2549.440357        0.325664
FIRE:   62 03:25:16    -2549.445986        0.323617
FIRE:   63 03:25:40    -2549.452560        0.344165
FIRE:   64 03:25:53    -2549.460534        0.317840
FIRE:   65 03:26:15    -2549.469399        0.363325
FIRE:   66 03:26:39    -2549.479877        0.310919
FIRE:   67 03:27:01    -2549.491482        0.346532
FIRE:   68 03:27:14    -2549.504847        0.304373
FIRE:   69 03:27:41    -2549.519291        0.299508
FIRE:   70 03:27:51    -2549.534756        0.487128
FIRE:   71 03:28:06    -2549.550600        0.796775
FIRE:   72 03:28:23    -2549.565105        1.521605
FIRE:   73 03:28:46    -2549.568844        3.091052
FIRE:   74 03:29:12    -2549.586781        0.399617
