catalyst_id,metal,backbone,substituent,state,status,conformers_attempted,best_conformer,energy_eV,max_force_eV_A,terminal_donor_angle_deg,donor_labels,P_M_P_angle_deg,buried_volume_percent,buried_volume_CI_low_percent,buried_volume_CI_high_percent,geometry_path,proton_site_element,charge,unpaired_electrons,geometry_sha256,selection_source
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,active,best_found_identity_preserved_optimized_geometry,13,5,-2508.9718454789227,0.0031700392666960953,162.61799779302987,P-N-P,162.61799779302987,61.25000000000001,60.822127557123586,61.67614391920816,data/structures/Ru_macho_pnp_Ph/active/best_found.xyz,N,0,0,2cca0f0d77a1160ae129b38e241da83aa9ff08a8d5c36b741732cd8ed7045d27,data/datasets/best_conformers_portable.json
Ru_macho_pnp_iPr,Ru,macho_pnp,iPr,active,best_found_identity_preserved_optimized_geometry,12,2,-1922.2968491688189,0.0016772075851552248,163.55357111029082,P-N-P,163.55357111029082,63.568000000000005,63.1451557801749,63.98875954345791,data/structures/Ru_macho_pnp_iPr/active/best_found.xyz,N,0,0,d599b95371078e32b63b56c9700a63d59ba56a10758fdfbcf4b02accf7f80a6c,data/datasets/best_conformers_portable.json
Ru_pyridine_pnn_Ph,Ru,pyridine_pnn,Ph,active,best_found_identity_preserved_optimized_geometry,12,9,-2201.340382178664,0.003793579869128666,160.07263265083577,P-N-N,,64.98,64.56073396844253,65.39696440626409,data/structures/Ru_pyridine_pnn_Ph/active/best_found.xyz,C,0,0,bb378be0a24208f1588d0f9fb7ca8ca971732ed7ae94d4fcf57e57e912dba283,data/datasets/best_conformers_portable.json
Ru_pyridine_pnn_iPr,Ru,pyridine_pnn,iPr,active,best_found_identity_preserved_optimized_geometry,13,11,-1908.0061442803983,0.002363161624725578,159.63550782203833,P-N-N,,67.38199999999999,66.96975219608937,67.79157711960825,data/structures/Ru_pyridine_pnn_iPr/active/best_found.xyz,C,0,0,f400862303cee48e437f273598167ca7da910a9d50046d6b06d92352ca62332e,data/datasets/best_conformers_portable.json
Ru_bipyridine_pnnoh_Ph,Ru,bipyridine_pnnoh,Ph,active,best_found_identity_preserved_optimized_geometry,12,10,-2201.372977554152,0.00792117407248025,164.16809668174997,P-N-N,,60.472,60.04266991997701,60.89972109336931,data/structures/Ru_bipyridine_pnnoh_Ph/active/best_found.xyz,O,0,0,52043fd56fcb9c935b497a130ed88bd055e2f8484113c351e6fefa35fbb2d471,data/datasets/best_conformers_portable.json
Ru_bipyridine_pnnoh_iPr,Ru,bipyridine_pnnoh,iPr,active,best_found_identity_preserved_optimized_geometry,10,1,-1908.1005569174035,0.005566347732613618,164.04592444693998,P-N-N,,61.834,61.407297017876886,62.25888472887065,data/structures/Ru_bipyridine_pnnoh_iPr/active/best_found.xyz,O,0,0,9f6e2877b4cc6c19325cd1a529e59028bb784d918c7ce60aa91137d14fc2b1c1,data/datasets/best_conformers_portable.json
Mn_macho_pnp_Ph,Mn,macho_pnp,Ph,active,best_found_identity_preserved_optimized_geometry,13,5,-2653.3345611500577,0.007700561414805366,163.86111823254925,P-N-P,163.86111823254925,63.33800000000001,62.914610320252486,63.759340342086425,data/structures/Mn_macho_pnp_Ph/active/best_found.xyz,N,0,0,776c01e9eaaf5f6e051f34f225e04ea4cca161211ac6549c177f6d1e8753c23d,data/datasets/best_conformers_portable.json
Mn_macho_pnp_iPr,Mn,macho_pnp,iPr,active,best_found_identity_preserved_optimized_geometry,12,0,-2066.6403131486472,0.008570001341984324,155.4063581860542,P-N-P,155.4063581860542,65.342,64.9237157006931,65.75792705396303,data/structures/Mn_macho_pnp_iPr/active/best_found.xyz,N,0,0,dd1b45779970656786217ccde05173a086428d5c25b2afea2c9c1cc6e91ff543,data/datasets/best_conformers_portable.json
Mn_pyridine_pnn_Ph,Mn,pyridine_pnn,Ph,active,best_found_identity_preserved_optimized_geometry,12,4,-2344.4757401685583,0.005823013521436626,162.54712233830384,P-N-N,,65.42,65.00193071627426,65.8357000539511,data/structures/Mn_pyridine_pnn_Ph/active/best_found.xyz,C,0,0,f3a329fbf737c973b558f7e0e4ca89dc78d60086ae77b63230ed659f6cfb2cb4,data/datasets/best_conformers_portable.json
Mn_pyridine_pnn_iPr,Mn,pyridine_pnn,iPr,active,best_found_identity_preserved_optimized_geometry,13,4,-2051.02956365475,0.0017812298737701062,162.47618590704695,P-N-N,,66.586,66.17129373506633,66.99815788328372,data/structures/Mn_pyridine_pnn_iPr/active/best_found.xyz,C,0,0,1f5a2728b2467ecbfd5c07aa55d6da3409dc3cbf20c3dcfd11cd84ae60bb8cff,data/datasets/best_conformers_portable.json
Mn_bipyridine_pnnoh_Ph,Mn,bipyridine_pnnoh,Ph,active,best_found_identity_preserved_optimized_geometry,12,7,-2345.6553517057114,0.0018363262630237485,160.53385878853456,P-N-N,,61.546,61.11871218639209,61.97151381056136,data/structures/Mn_bipyridine_pnnoh_Ph/active/best_found.xyz,O,0,0,5b1bf58eb2467defb6664242075f4878eca49a9c46bd689801e1c97df6f2c6cf,data/datasets/best_conformers_portable.json
Mn_bipyridine_pnnoh_iPr,Mn,bipyridine_pnnoh,iPr,active,best_found_identity_preserved_optimized_geometry,10,1,-2052.353051872176,0.0078469793822688,160.44546897769075,P-N-N,,62.596,62.170921026368916,63.01914364170882,data/structures/Mn_bipyridine_pnnoh_iPr/active/best_found.xyz,O,0,0,12103bc1aa669fe399471bd041acc72081401b98b6294122edbb58c579375239,data/datasets/best_conformers_portable.json
Fe_macho_pnp_Ph,Fe,macho_pnp,Ph,active,best_found_identity_preserved_optimized_geometry,13,1,-2505.6101110376635,0.003188693832030402,167.48358136474087,P-N-P,167.48358136474087,65.054,64.63493249701753,65.47075450784452,data/structures/Fe_macho_pnp_Ph/active/best_found.xyz,N,0,0,1a31196cd0973e25075d2463b618c91444265f6eef065824347fedf7aa305e4d,data/datasets/best_conformers_portable.json
Fe_macho_pnp_iPr,Fe,macho_pnp,iPr,active,best_found_identity_preserved_optimized_geometry,12,7,-1918.9122909022071,0.015376788004731131,166.351147777773,P-N-P,166.351147777773,67.998,67.58774707745266,68.40548759197121,data/structures/Fe_macho_pnp_iPr/active/best_found.xyz,N,0,0,0f1e7453595cf27365ebd86ba201c2b66108e82b804509a60ca8f3882684ee57,data/datasets/best_conformers_portable.json
Fe_pyridine_pnn_Ph,Fe,pyridine_pnn,Ph,active,best_found_identity_preserved_optimized_geometry,12,9,-2197.6820019808897,0.0017198169210761774,167.6258035344833,P-N-N,,67.452,67.0399748012277,67.86134375921154,data/structures/Fe_pyridine_pnn_Ph/active/best_found.xyz,C,0,0,e78c3fd68aff56e7d90edf98ef897c3266296157c45849ba688658c0c97ccec8,data/datasets/best_conformers_portable.json
