temperature_K,hemiaminal_formation_delta_G_kcal_mol,hemiaminal_dehydration_delta_G_kcal_mol,net_borrowing_hydrogen_delta_G_kcal_mol
298.15,-10.907162904719371,8.198003418593544,-5.084433769447969
340.0,-9.234700049220919,6.880898300498757,-4.666345065066253
350.0,-8.835220769031366,6.566507979604921,-4.566508582544429
360.0,-8.435844955589346,6.252326318753148,-4.46665292371199
370.0,-8.036591485251847,5.938386897178589,-4.366759972419004
380.0,-7.637477870115617,5.624720439470821,-4.266813250761061
383.15,-7.511788671512477,5.525976596756209,-4.235316464914376
390.0,-7.238520313283516,5.311355031195035,-4.16679778491789
400.0,-6.839733765900746,4.998316316689397,-4.06669998141615
410.0,-6.4411319853297755,4.685627681190908,-3.9665075129810248
420.0,-6.042727594103781,4.373310418985966,-3.866209213248112
430.0,-5.644532139305738,4.061383889280933,-3.7657949797389847
440.0,-5.246556151547338,3.7498656606153418,-3.6652556844105675
