catalyst_id,state,status,certificate,reasons
Ru_macho_pnp_Ph,active,certified,data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json,"[""ValueError: intended molecular identity is not retained""]"
Ru_macho_pnp_Ph,hydrogenated,certified,data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json,[]
Ru_macho_pnp_Ph,protonated_reference,certified,data/campaign/thermochemistry/Ru_macho_pnp_Ph__protonated_reference/result.json,[]
Ru_macho_pnp_iPr,active,certified,data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_iPr__active/result.json,"[""ValueError: intended molecular identity is not retained""]"
Ru_macho_pnp_iPr,hydrogenated,certified,data/campaign/thermochemistry/Ru_macho_pnp_iPr__hydrogenated/result.json,[]
Ru_macho_pnp_iPr,protonated_reference,certified,data/campaign/thermochemistry/Ru_macho_pnp_iPr__protonated_reference/result.json,[]
Ru_pyridine_pnn_Ph,active,certified,data/campaign/thermochemistry/Ru_pyridine_pnn_Ph__active/result.json,[]
Ru_pyridine_pnn_Ph,hydrogenated,certified,data/campaign/thermochemistry/Ru_pyridine_pnn_Ph__hydrogenated/result.json,[]
Ru_pyridine_pnn_Ph,protonated_reference,certified,data/campaign/thermochemistry/Ru_pyridine_pnn_Ph__protonated_reference/result.json,[]
Ru_pyridine_pnn_iPr,active,certified,data/campaign/thermochemistry/Ru_pyridine_pnn_iPr__active/result.json,[]
Ru_pyridine_pnn_iPr,hydrogenated,certified,data/campaign/thermochemistry/Ru_pyridine_pnn_iPr__hydrogenated/result.json,[]
Ru_pyridine_pnn_iPr,protonated_reference,certified,data/campaign/thermochemistry/Ru_pyridine_pnn_iPr__protonated_reference/result.json,[]
Ru_bipyridine_pnnoh_Ph,active,certified,data/targeted_rescue/thermochemistry/Ru_bipyridine_pnnoh_Ph__active/result.json,[]
Ru_bipyridine_pnnoh_Ph,hydrogenated,certified,data/targeted_rescue/thermochemistry/Ru_bipyridine_pnnoh_Ph__hydrogenated/result.json,[]
Ru_bipyridine_pnnoh_Ph,protonated_reference,certified,data/targeted_rescue/thermochemistry/Ru_bipyridine_pnnoh_Ph__protonated_reference/result.json,[]
Ru_bipyridine_pnnoh_iPr,active,certified,data/campaign/thermochemistry/Ru_bipyridine_pnnoh_iPr__active/result.json,[]
Ru_bipyridine_pnnoh_iPr,hydrogenated,certified,data/campaign/thermochemistry/Ru_bipyridine_pnnoh_iPr__hydrogenated/result.json,[]
Ru_bipyridine_pnnoh_iPr,protonated_reference,certified,data/campaign/thermochemistry/Ru_bipyridine_pnnoh_iPr__protonated_reference/result.json,[]
Mn_macho_pnp_Ph,active,certified,data/campaign/thermochemistry/Mn_macho_pnp_Ph__active/result.json,[]
Mn_macho_pnp_Ph,hydrogenated,certified,data/campaign/thermochemistry/Mn_macho_pnp_Ph__hydrogenated/result.json,[]
Mn_macho_pnp_Ph,protonated_reference,certified,data/campaign/thermochemistry/Mn_macho_pnp_Ph__protonated_reference/result.json,[]
Mn_macho_pnp_iPr,active,certified,data/campaign/thermochemistry/Mn_macho_pnp_iPr__active/result.json,[]
Mn_macho_pnp_iPr,hydrogenated,certified,data/campaign/thermochemistry/Mn_macho_pnp_iPr__hydrogenated/result.json,[]
Mn_macho_pnp_iPr,protonated_reference,certified,data/campaign/thermochemistry/Mn_macho_pnp_iPr__protonated_reference/result.json,[]
Mn_pyridine_pnn_Ph,active,certified,data/campaign/thermochemistry/Mn_pyridine_pnn_Ph__active/result.json,[]
Mn_pyridine_pnn_Ph,hydrogenated,certified,data/campaign/thermochemistry/Mn_pyridine_pnn_Ph__hydrogenated/result.json,[]
Mn_pyridine_pnn_Ph,protonated_reference,certified,data/campaign/thermochemistry/Mn_pyridine_pnn_Ph__protonated_reference/result.json,[]
Mn_pyridine_pnn_iPr,active,certified,data/campaign/thermochemistry/Mn_pyridine_pnn_iPr__active/result.json,[]
Mn_pyridine_pnn_iPr,hydrogenated,certified,data/campaign/thermochemistry/Mn_pyridine_pnn_iPr__hydrogenated/result.json,[]
Mn_pyridine_pnn_iPr,protonated_reference,certified,data/campaign/thermochemistry/Mn_pyridine_pnn_iPr__protonated_reference/result.json,[]
Mn_bipyridine_pnnoh_Ph,active,certified,data/targeted_rescue/thermochemistry/Mn_bipyridine_pnnoh_Ph__active/result.json,[]
Mn_bipyridine_pnnoh_Ph,hydrogenated,certified,data/targeted_rescue/thermochemistry/Mn_bipyridine_pnnoh_Ph__hydrogenated/result.json,[]
Mn_bipyridine_pnnoh_Ph,protonated_reference,certified,data/targeted_rescue/thermochemistry/Mn_bipyridine_pnnoh_Ph__protonated_reference/result.json,[]
Mn_bipyridine_pnnoh_iPr,active,certified,data/campaign/thermochemistry/Mn_bipyridine_pnnoh_iPr__active/result.json,[]
Mn_bipyridine_pnnoh_iPr,hydrogenated,certified,data/campaign/thermochemistry/Mn_bipyridine_pnnoh_iPr__hydrogenated/result.json,[]
Mn_bipyridine_pnnoh_iPr,protonated_reference,certified,data/campaign/thermochemistry/Mn_bipyridine_pnnoh_iPr__protonated_reference/result.json,[]
Fe_macho_pnp_Ph,active,certified,data/campaign/thermochemistry/Fe_macho_pnp_Ph__active/result.json,[]
Fe_macho_pnp_Ph,hydrogenated,certified,data/campaign/thermochemistry/Fe_macho_pnp_Ph__hydrogenated/result.json,[]
Fe_macho_pnp_Ph,protonated_reference,certified,data/campaign/thermochemistry/Fe_macho_pnp_Ph__protonated_reference/result.json,[]
Fe_macho_pnp_iPr,active,certified,data/campaign/thermochemistry_identity_replacements/Fe_macho_pnp_iPr__active/result.json,"[""ValueError: intended molecular identity is not retained""]"
Fe_macho_pnp_iPr,hydrogenated,certified,data/campaign/thermochemistry/Fe_macho_pnp_iPr__hydrogenated/result.json,[]
Fe_macho_pnp_iPr,protonated_reference,certified,data/campaign/thermochemistry/Fe_macho_pnp_iPr__protonated_reference/result.json,[]
Fe_pyridine_pnn_Ph,active,certified,data/campaign/thermochemistry/Fe_pyridine_pnn_Ph__active/result.json,[]
Fe_pyridine_pnn_Ph,hydrogenated,certified,data/campaign/thermochemistry/Fe_pyridine_pnn_Ph__hydrogenated/result.json,[]
Fe_pyridine_pnn_Ph,protonated_reference,certified,data/campaign/thermochemistry/Fe_pyridine_pnn_Ph__protonated_reference/result.json,[]
Fe_pyridine_pnn_iPr,active,certified,data/campaign/thermochemistry/Fe_pyridine_pnn_iPr__active/result.json,[]
Fe_pyridine_pnn_iPr,hydrogenated,certified,data/campaign/thermochemistry/Fe_pyridine_pnn_iPr__hydrogenated/result.json,[]
Fe_pyridine_pnn_iPr,protonated_reference,certified,data/campaign/thermochemistry/Fe_pyridine_pnn_iPr__protonated_reference/result.json,[]
Fe_bipyridine_pnnoh_Ph,active,certified,data/targeted_rescue/thermochemistry/Fe_bipyridine_pnnoh_Ph__active/result.json,[]
Fe_bipyridine_pnnoh_Ph,hydrogenated,certified,data/targeted_rescue/thermochemistry/Fe_bipyridine_pnnoh_Ph__hydrogenated/result.json,[]
Fe_bipyridine_pnnoh_Ph,protonated_reference,certified,data/targeted_rescue/thermochemistry/Fe_bipyridine_pnnoh_Ph__protonated_reference/result.json,[]
Fe_bipyridine_pnnoh_iPr,active,certified,data/campaign/thermochemistry/Fe_bipyridine_pnnoh_iPr__active/result.json,[]
Fe_bipyridine_pnnoh_iPr,hydrogenated,certified,data/campaign/thermochemistry/Fe_bipyridine_pnnoh_iPr__hydrogenated/result.json,[]
Fe_bipyridine_pnnoh_iPr,protonated_reference,certified,data/campaign/thermochemistry/Fe_bipyridine_pnnoh_iPr__protonated_reference/result.json,[]
Co_macho_pnp_Ph,active,certified,data/campaign/thermochemistry/Co_macho_pnp_Ph__active/result.json,[]
Co_macho_pnp_Ph,hydrogenated,certified,data/campaign/thermochemistry/Co_macho_pnp_Ph__hydrogenated/result.json,[]
Co_macho_pnp_Ph,protonated_reference,certified,data/campaign/thermochemistry/Co_macho_pnp_Ph__protonated_reference/result.json,[]
Co_macho_pnp_iPr,active,certified,data/campaign/thermochemistry/Co_macho_pnp_iPr__active/result.json,[]
Co_macho_pnp_iPr,hydrogenated,certified,data/campaign/thermochemistry/Co_macho_pnp_iPr__hydrogenated/result.json,[]
Co_macho_pnp_iPr,protonated_reference,certified,data/campaign/thermochemistry/Co_macho_pnp_iPr__protonated_reference/result.json,[]
Co_pyridine_pnn_Ph,active,certified,data/campaign/thermochemistry/Co_pyridine_pnn_Ph__active/result.json,[]
Co_pyridine_pnn_Ph,hydrogenated,certified,data/campaign/thermochemistry/Co_pyridine_pnn_Ph__hydrogenated/result.json,[]
Co_pyridine_pnn_Ph,protonated_reference,certified,data/campaign/thermochemistry/Co_pyridine_pnn_Ph__protonated_reference/result.json,[]
Co_pyridine_pnn_iPr,active,certified,data/campaign/thermochemistry/Co_pyridine_pnn_iPr__active/result.json,[]
Co_pyridine_pnn_iPr,hydrogenated,certified,data/campaign/thermochemistry/Co_pyridine_pnn_iPr__hydrogenated/result.json,[]
Co_pyridine_pnn_iPr,protonated_reference,certified,data/campaign/thermochemistry/Co_pyridine_pnn_iPr__protonated_reference/result.json,[]
Co_bipyridine_pnnoh_Ph,active,no_eligible_certificate,,"[""ValueError: intended molecular identity is not retained""]"
Co_bipyridine_pnnoh_Ph,hydrogenated,certified,data/targeted_rescue/thermochemistry/Co_bipyridine_pnnoh_Ph__hydrogenated/result.json,[]
Co_bipyridine_pnnoh_Ph,protonated_reference,certified,data/targeted_rescue/thermochemistry/Co_bipyridine_pnnoh_Ph__protonated_reference/result.json,[]
Co_bipyridine_pnnoh_iPr,active,no_eligible_certificate,,"[""ValueError: intended molecular identity is not retained""]"
Co_bipyridine_pnnoh_iPr,hydrogenated,certified,data/campaign/thermochemistry/Co_bipyridine_pnnoh_iPr__hydrogenated/result.json,[]
Co_bipyridine_pnnoh_iPr,protonated_reference,certified,data/campaign/thermochemistry/Co_bipyridine_pnnoh_iPr__protonated_reference/result.json,[]
