catalyst_id,reaction,temperature_K,delta_G_kcal_mol,equation,atoms_balanced,charge_balanced,reactant_certificates,product_certificates,reactant_geometry_sha256,product_geometry_sha256,scope
Ru_macho_pnp_Ph,alcohol_dehydrogenation,298.15,-11.067409926794426,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,340.0,-10.92223306829328,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,350.0,-10.887906780906633,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,360.0,-10.853730235570765,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,370.0,-10.819707510536318,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,380.0,-10.785842417766617,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,383.15,-10.775208137107256,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,390.0,-10.752138520025255,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,400.0,-10.718599145429835,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
Ru_macho_pnp_Ph,alcohol_dehydrogenation,410.0,-10.685227400092117,active_cat + benzyl_alcohol -> hydrogenated_cat + benzaldehyde,True,True,"[""data/campaign/thermochemistry_identity_replacements/Ru_macho_pnp_Ph__active/result.json"", ""data/reference_thermochemistry/benzyl_alcohol/stationarity/result.json""]","[""data/campaign/thermochemistry/Ru_macho_pnp_Ph__hydrogenated/result.json"", ""data/reference_thermochemistry/benzaldehyde/stationarity/result.json""]","[""f2c030ea3b04d2b043627d9cc29c7ff4e476300cf82e7d5e7136b8d39ac1a650"", ""f4897da33f477e49dfa225e23571ab1376182c83d5412b994134a99a99cc75c0""]","[""1f4305273d2ba9284908608c402b090e6670d7b2fc0bf4e0c1c02c719c0e3e7d"", ""e7292b48e5f27218094b119118595a7fc0b25d93db34b114bb0582e7ad8b60b9""]",Reaction thermodynamics of separate 1M molecular species; no kinetic barrier or TOF
