species_key,catalyst_id,state,temperature_K,E_elec,ZPVE,H_298,S_harmonic,S_qRRHO,G_298_qRRHO_sol,delta_G_concentration,energy_unit,entropy_unit,charge,formula,method,certificate,certificate_sha256,native_protocol_reference,export_protocol_reference,geometry,geometry_sha256,spectrum,spectrum_sha256,conformer_source,accepted_attempt,selection_temperature_K,selection_scope,pressure_pa,concentration_mol_l,cutoff_cm1,unpaired_electrons,symmetry_number
aniline,,reference,298.15,-12126.616466246141,71.07793109265559,-12051.211372076841,75.96705529960536,75.98269880252127,-12071.971285279318,1.894328445494145,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,340.0,-12126.616466246141,71.07793109265559,-12050.052192820183,79.6001650397244,79.60901841916711,-12074.870286298332,2.248972784367174,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,350.0,-12126.616466246141,71.07793109265559,-12049.7537104334,80.46533502078675,80.47261602583706,-12075.58384554486,2.3352804975836268,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,360.0,-12126.616466246141,71.07793109265559,-12049.44715495109,81.32887570009495,81.33460523196072,-12076.305456773878,2.422156060718619,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,370.0,-12126.616466246141,71.07793109265559,-12049.13264733613,82.19054494629388,82.19474427436141,-12077.035119021597,2.509583696046293,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,380.0,-12126.616466246141,71.07793109265559,-12048.810314783264,83.05010337402973,83.05279398105263,-12077.772828017054,2.597548479011341,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,383.15,-12126.616466246141,71.07793109265559,-12048.707180416015,83.32038950201832,83.3226093281905,-12078.006871824537,2.625366355574337,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,390.0,-12126.616466246141,71.07793109265559,-12048.480289636138,83.90731687268952,83.90852032855682,-12078.518576293434,2.686036270841015,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,400.0,-12126.616466246141,71.07793109265559,-12048.14270836568,84.76195865948485,84.76169651851431,-12079.272353315013,2.775033658072708,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
aniline,,reference,410.0,-12126.616466246141,71.07793109265559,-12047.797710617042,85.61381090985397,85.61210462748953,-12080.03414561618,2.8645278981321125,kcal/mol,cal/(mol K),0,C6H7N,GFN2-xTB/ALPB toluene gsolv + qRRHO + 1M,data/reference_thermochemistry/aniline/stationarity/result.json,d3e9ebbf63b998564883a059902adaa09a543bcf4a40400ed99edfd6aa72e27f,data/reference_thermochemistry/aniline/stationarity/result.json#/attempts/0/native_command,data/datasets/thermochemistry/export_protocol.json,data/reference_thermochemistry/aniline/stationarity/accepted_geometry.xyz,10c6e1d825c20755cd72d7ae99b7d750b13a234bf316f183eefd95d13576771e,data/reference_thermochemistry/aniline/stationarity/hessian_00.npz,62ff63f728d70945f713ede715266d5c53d3f1a7e54c2420f6254502ebce2d38,conformer_03,0,383.15,lowest G383.15 among eligible certificates; same geometry at all T,101325.0,1.0,100.0,0,1
