catalyst_id,metal,backbone,substituent,state,status,conformers_attempted,best_conformer,energy_eV,max_force_eV_A,terminal_donor_angle_deg,donor_labels,P_M_P_angle_deg,buried_volume_percent,buried_volume_CI_low_percent,buried_volume_CI_high_percent,geometry_path,proton_site_element,charge,unpaired_electrons
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,active,best_found_unconstrained_minimum,2,0,-2508.1855764812103,0.022654580119666354,163.2202670078326,P-N-P,163.2202670078326,62.73800000000001,62.31323603566492,63.160806814602964,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Ru_macho_pnp_Ph\active\conformer_0000\xtbopt.xyz,N,0,0
Ru_macho_pnp_iPr,Ru,macho_pnp,iPr,active,best_found_unconstrained_minimum,2,1,-1921.7589337958357,0.006251546167708112,161.79549219764954,P-N-P,161.79549219764954,64.92999999999999,64.51060045331259,65.34710560372142,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Ru_macho_pnp_iPr\active\conformer_0001\xtbopt.xyz,N,0,0
Ru_pyridine_pnn_Ph,Ru,pyridine_pnn,Ph,active,best_found_unconstrained_minimum,2,0,-2200.061180765467,0.015327645319239238,157.18685967323736,P-N-N,,63.937999999999995,63.51605509917996,64.35780337522998,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Ru_pyridine_pnn_Ph\active\conformer_0000\xtbopt.xyz,C,0,0
Ru_pyridine_pnn_iPr,Ru,pyridine_pnn,iPr,active,best_found_unconstrained_minimum,2,1,-1906.8348814133528,0.024955893339512668,159.43314348824057,P-N-N,,65.16,64.7412188045634,65.57645191376452,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Ru_pyridine_pnn_iPr\active\conformer_0001\xtbopt.xyz,C,0,0
Ru_bipyridine_pnnoh_Ph,Ru,bipyridine_pnnoh,Ph,active,no_accepted_conformer,1,,,,,,,,,,,,,
Ru_bipyridine_pnnoh_iPr,Ru,bipyridine_pnnoh,iPr,active,best_found_unconstrained_minimum,2,1,-1907.138042321791,0.013465235671023227,164.019090459198,P-N-N,,62.502,62.07671464482143,62.92536446603185,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Ru_bipyridine_pnnoh_iPr\active\conformer_0001\xtbopt.xyz,O,0,0
Mn_macho_pnp_Ph,Mn,macho_pnp,Ph,active,best_found_unconstrained_minimum,2,0,-2652.203942647245,0.003974271947589949,163.87674338456702,P-N-P,163.87674338456702,63.376,62.95269972430735,63.79724509946272,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Mn_macho_pnp_Ph\active\conformer_0000\xtbopt.xyz,N,0,0
Mn_macho_pnp_iPr,Mn,macho_pnp,iPr,active,best_found_unconstrained_minimum,2,0,-2065.790948896986,0.014046535909044205,156.00664571429607,P-N-P,156.00664571429607,65.45400000000001,65.03602482861275,65.86960071762996,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Mn_macho_pnp_iPr\active\conformer_0000\xtbopt.xyz,N,0,0
Mn_pyridine_pnn_Ph,Mn,pyridine_pnn,Ph,active,best_found_unconstrained_minimum,2,0,-2343.495482328117,0.003912706829479453,162.13936915089377,P-N-N,,64.736,64.31608718253898,65.15364868192542,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Mn_pyridine_pnn_Ph\active\conformer_0000\xtbopt.xyz,C,0,0
Mn_pyridine_pnn_iPr,Mn,pyridine_pnn,iPr,active,best_found_unconstrained_minimum,2,0,-2050.1598125656305,0.0044691836832063256,161.4214408086886,P-N-N,,66.16,65.74403252202636,66.57348454975327,C:\Users\HUIWEI\Documents\Codex\2026-09-13\files-pasted-by-the-user-mission\work\campaign-runs\Mn_pyridine_pnn_iPr\active\conformer_0000\xtbopt.xyz,C,0,0
