catalyst_id,metal,backbone,substituent,temperature_K,total_added_base_equiv,baseline_total_base_equiv,solvent,active_geometry_available,spin_requested_multiplicities,kinetic_status,free_base_speciation,initial_free_base_M,tbuoh_activity,physical_TOF_s-1,physical_Campbell_DRC,physical_selectivity_control
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,360.0,0.01,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,360.0,0.025,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,360.0,0.05,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,360.0,0.1,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,360.0,0.2,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,370.0,0.01,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,370.0,0.025,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,370.0,0.05,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,370.0,0.1,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,370.0,0.2,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,380.0,0.01,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,380.0,0.025,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
Ru_macho_pnp_Ph,Ru,macho_pnp,Ph,380.0,0.05,0.05,toluene,True,4d_reference_not_scanned,blocked_missing_18_matched_TS_and_offcycle_state_certificates,unresolved,,unresolved,,,
