evidence_kind,temperature_K,initial_free_base_equiv,tbuoh_activity_assumed,points,time_end_s,metal_error_M,base_equivalent_error_M,metal_sensitivity_residual_M,minimum_concentration_M,terminal_fixture_TOF_s-1,terminal_fixture_product_M,terminal_fixture_active_metal_fraction,steady_state_Campbell_DRC
software_fixture_not_chemical_prediction,360.0,0.01,0.1,500,3600.0,2.6020852139652106e-17,8.673617379884035e-18,1.1387087426413187e-17,0.0,0.00277494307221527,0.10165448706169358,0.05558273044257711,not_established
software_fixture_not_chemical_prediction,360.0,0.025,0.1,500,3600.0,1.3877787807814457e-17,3.8163916471489756e-17,1.9873510524954022e-17,0.0,0.002797103505141913,0.10272856647083191,0.055633543164405254,not_established
software_fixture_not_chemical_prediction,360.0,0.05,0.1,500,3600.0,1.214306433183765e-17,9.020562075079397e-17,2.1556988507621944e-17,0.0,0.00282081456863747,0.10393711526441746,0.0556854046093896,not_established
software_fixture_not_chemical_prediction,360.0,0.1,0.1,500,3600.0,8.673617379884035e-18,2.220446049250313e-16,2.872627537318234e-17,0.0,0.002845973027698703,0.10533562674567469,0.05573381389042364,not_established
software_fixture_not_chemical_prediction,360.0,0.2,0.1,500,3600.0,1.734723475976807e-17,3.608224830031759e-16,2.2038103221662386e-17,0.0,0.0028661528671189295,0.10666440521881192,0.05575567393128335,not_established
software_fixture_not_chemical_prediction,370.0,0.01,0.1,500,3600.0,1.5612511283791264e-17,2.0816681711721685e-17,7.754348404096704e-18,0.0,0.003541388600166143,0.12946951009539576,0.055673908063095044,not_established
software_fixture_not_chemical_prediction,370.0,0.025,0.1,500,3600.0,2.2551405187698492e-17,2.0816681711721685e-17,6.637561932921511e-18,0.0,0.003567651087812385,0.1306805712997317,0.0557196521386293,not_established
software_fixture_not_chemical_prediction,370.0,0.05,0.1,500,3600.0,1.5612511283791264e-17,8.326672684688674e-17,9.91600295526928e-18,0.0,0.003595308526071382,0.13201856031010112,0.055763993981508414,not_established
software_fixture_not_chemical_prediction,370.0,0.1,0.1,500,3600.0,1.5612511283791264e-17,1.8041124150158794e-16,1.1902506974817428e-17,0.0,0.0036237439051773294,0.1335242932972548,0.055799420300814494,not_established
software_fixture_not_chemical_prediction,370.0,0.2,0.1,500,3600.0,1.214306433183765e-17,4.996003610813204e-16,1.5976735451110613e-17,0.0,0.0036445352527023204,0.13488526870141448,0.05579871063674515,not_established
software_fixture_not_chemical_prediction,380.0,0.01,0.1,500,3600.0,1.214306433183765e-17,2.42861286636753e-17,2.5723649454284254e-17,0.0,0.00445610242180232,0.16291049793566756,0.05576159019354104,not_established
software_fixture_not_chemical_prediction,380.0,0.025,0.1,500,3600.0,2.0816681711721685e-17,2.42861286636753e-17,3.8467154266606796e-17,0.0,0.004486504906684619,0.16427515416067182,0.055801031081542246,not_established
software_fixture_not_chemical_prediction,380.0,0.05,0.1,500,3600.0,6.938893903907228e-18,7.632783294297951e-17,3.228889594933393e-17,0.0,0.00451780758883311,0.1657542065921757,0.05583572391684821,not_established
software_fixture_not_chemical_prediction,380.0,0.1,0.1,500,3600.0,1.0408340855860843e-17,2.498001805406602e-16,2.3408602530319844e-17,0.0,0.004548375873767418,0.16736519678374448,0.05585371629949696,not_established
software_fixture_not_chemical_prediction,380.0,0.2,0.1,500,3600.0,8.673617379884035e-18,2.220446049250313e-16,3.342392009865469e-17,0.0,0.004566836904488041,0.1687213755071502,0.0558211930433726,not_established
software_fixture_not_chemical_prediction,383.15,0.01,0.1,500,3600.0,1.0408340855860843e-17,1.734723475976807e-17,1.8435672096989847e-17,0.0,0.004777274102185966,0.1747076001748915,0.05578855801936654,not_established
software_fixture_not_chemical_prediction,383.15,0.025,0.1,500,3600.0,6.938893903907228e-18,3.469446951953614e-17,8.764249905240246e-18,0.0,0.004808932439324828,0.17612298201434298,0.055825667270681445,not_established
software_fixture_not_chemical_prediction,383.15,0.05,0.1,500,3600.0,1.734723475976807e-17,4.163336342344337e-17,1.9037912522487654e-17,0.0,0.004841227182533646,0.17764701007619638,0.05585672516836191,not_established
software_fixture_not_chemical_prediction,383.15,0.1,0.1,500,3600.0,1.0408340855860843e-17,1.6653345369377348e-16,1.5829351718288365e-17,0.0,0.004872043094513823,0.1792870259354423,0.055867991795801944,not_established
software_fixture_not_chemical_prediction,383.15,0.2,0.1,500,3600.0,1.734723475976807e-17,3.3306690738754696e-16,1.2647525391486789e-17,0.0,0.004888788859556902,0.18062672155127787,0.0558229134447671,not_established
software_fixture_not_chemical_prediction,390.0,0.01,0.1,500,3600.0,1.734723475976807e-17,1.734723475976807e-17,4.300089811678544e-17,0.0,0.0055334487207280665,0.2025895127731011,0.055846301202670326,not_established
software_fixture_not_chemical_prediction,390.0,0.025,0.1,500,3600.0,8.673617379884035e-18,2.0816681711721685e-17,4.392797567755527e-17,0.0,0.005567641314198712,0.20411683430105093,0.05587760722439391,not_established
software_fixture_not_chemical_prediction,390.0,0.05,0.1,500,3600.0,3.642919299551295e-17,4.163336342344337e-17,2.827057164755953e-17,0.0,0.005601640755798975,0.20573578551270574,0.05589950177330562,not_established
software_fixture_not_chemical_prediction,390.0,0.1,0.1,500,3600.0,1.214306433183765e-17,9.71445146547012e-17,5.72390984436566e-17,0.0,0.005631907381198465,0.20742457448983562,0.05589354821987061,not_established
software_fixture_not_chemical_prediction,390.0,0.2,0.1,500,3600.0,1.214306433183765e-17,4.996003610813204e-16,5.0320533330483475e-17,0.0,0.005642537933575943,0.2086888755613557,0.05581588293564936,not_established
software_fixture_not_chemical_prediction,400.0,0.01,0.1,500,3600.0,8.673617379884035e-18,1.5612511283791264e-17,2.664765652062029e-17,0.0,0.006786343664827005,0.2491074281674017,0.05592910031773071,not_established
software_fixture_not_chemical_prediction,400.0,0.025,0.1,500,3600.0,8.673617379884035e-18,1.734723475976807e-17,2.424885921399611e-17,0.0,0.006823339604637047,0.250794322427675,0.05594964348534089,not_established
software_fixture_not_chemical_prediction,400.0,0.05,0.1,500,3600.0,1.0408340855860843e-17,4.85722573273506e-17,2.2055043880607472e-17,0.0,0.006858031104957584,0.25253162639936017,0.0559542300038216,not_established
software_fixture_not_chemical_prediction,400.0,0.1,0.1,500,3600.0,1.9081958235744878e-17,9.71445146547012e-17,3.199412848368943e-17,0.0,0.006883467375279978,0.2542302328207997,0.05591507209929204,not_established
software_fixture_not_chemical_prediction,400.0,0.2,0.1,500,3600.0,8.673617379884035e-18,2.498001805406602e-16,2.0891220611080064e-17,0.0,0.006876650799766136,0.25523589072481917,0.0557735263731725,not_established
software_fixture_not_chemical_prediction,410.0,0.01,0.1,500,3600.0,8.673617379884035e-18,1.5612511283791264e-17,1.7519989776338546e-17,0.0,0.008225420740082092,0.3030373665210616,0.05601198393705135,not_established
software_fixture_not_chemical_prediction,410.0,0.025,0.1,500,3600.0,8.673617379884035e-18,2.7755575615628914e-17,2.0813425928830676e-17,0.0,0.008263228849796819,0.3048616168316836,0.056018084309033836,not_established
software_fixture_not_chemical_prediction,410.0,0.05,0.1,500,3600.0,1.214306433183765e-17,1.249000902703301e-16,1.883912447767891e-17,0.0,0.008294947663042916,0.3066638813985183,0.055999052998528864,not_established
software_fixture_not_chemical_prediction,410.0,0.1,0.1,500,3600.0,2.0816681711721685e-17,8.326672684688674e-17,1.9045747577249757e-17,0.0,0.008307750236227736,0.3082412054461077,0.05591380596484235,not_established
software_fixture_not_chemical_prediction,410.0,0.2,0.1,500,3600.0,1.0408340855860843e-17,2.7755575615628914e-16,2.2321012226045323e-17,0.0,0.008267504470883572,0.308697892261284,0.05568257534660165,not_established
software_fixture_not_chemical_prediction,420.0,0.01,0.1,500,3600.0,8.673617379884035e-18,1.5612511283791264e-17,3.582695257001514e-17,0.0,0.00985784780922862,0.3649052127697312,0.05609865092562567,not_established
software_fixture_not_chemical_prediction,420.0,0.025,0.1,500,3600.0,1.214306433183765e-17,5.551115123125783e-17,3.585998685495806e-17,0.0,0.009892945100428116,0.36681533697245466,0.05608524300093801,not_established
software_fixture_not_chemical_prediction,420.0,0.05,0.1,500,3600.0,1.5612511283791264e-17,7.632783294297951e-17,3.8672136239842336e-17,0.0,0.009915504307692181,0.36858063900746585,0.056033904422492536,not_established
software_fixture_not_chemical_prediction,420.0,0.1,0.1,500,3600.0,2.2551405187698492e-17,9.71445146547012e-17,3.9363315124801845e-17,0.0,0.009902930815528241,0.36980982127785744,0.055884903200808266,not_established
software_fixture_not_chemical_prediction,420.0,0.2,0.1,500,3600.0,5.204170427930421e-18,4.163336342344337e-16,4.653937825394028e-17,0.0,0.009803831999362838,0.36924148230126347,0.05552902652915846,not_established
