      Step     Time          Energy          fmax
FIRE:    0 23:11:58    -1601.230635        7.640749
FIRE:    1 23:12:00    -1601.385224        7.556520
FIRE:    2 23:12:03    -1601.525454        7.436505
FIRE:    3 23:12:05    -1601.653632        7.269765
FIRE:    4 23:12:07    -1601.772055        7.059830
FIRE:    5 23:12:08    -1601.882900        6.843184
FIRE:    6 23:12:10    -1601.988126        6.625881
FIRE:    7 23:12:12    -1602.089411        6.515054
FIRE:    8 23:12:14    -1602.188215        6.453593
FIRE:    9 23:12:17    -1602.285705        6.374941
FIRE:   10 23:12:20    -1602.382745        6.277298
FIRE:   11 23:12:22    -1602.479952        6.156739
FIRE:   12 23:12:23    -1602.577770        6.004186
FIRE:   13 23:12:26    -1602.676581        5.801324
FIRE:   14 23:12:27    -1602.776792        5.544690
FIRE:   15 23:12:29    -1602.878876        5.294951
FIRE:   16 23:12:31    -1602.983320        5.040067
FIRE:   17 23:12:34    -1603.090591        4.694026
FIRE:   18 23:12:37    -1603.201207        4.222955
FIRE:   19 23:12:40    -1603.315790        4.025809
FIRE:   20 23:12:42    -1603.435137        3.953484
FIRE:   21 23:12:44    -1603.560273        3.844108
FIRE:   22 23:12:45    -1603.647779        3.816094
FIRE:   23 23:12:48    -1603.700916        3.905531
FIRE:   24 23:12:50    -1603.751044        3.992817
FIRE:   25 23:12:52    -1603.798732        4.074905
FIRE:   26 23:12:55    -1603.844255        4.148096
FIRE:   27 23:12:58    -1603.887929        4.207755
FIRE:   28 23:13:00    -1603.929810        4.248783
FIRE:   29 23:13:02    -1603.969764        4.266841
FIRE:   30 23:13:04    -1604.007557        4.256197
FIRE:   31 23:13:07    -1604.042956        4.211042
FIRE:   32 23:13:09    -1604.075837        4.124471
FIRE:   33 23:13:11    -1604.106222        3.983976
FIRE:   34 23:13:13    -1604.134277        3.781102
FIRE:   35 23:13:15    -1604.160280        3.647854
FIRE:   36 23:13:17    -1604.184554        3.499938
FIRE:   37 23:13:20    -1604.207439        3.365123
FIRE:   38 23:13:22    -1604.229262        3.242481
FIRE:   39 23:13:23    -1604.250298        3.053409
FIRE:   40 23:13:25    -1604.270791        2.733732
FIRE:   41 23:13:27    -1604.290982        2.258058
FIRE:   42 23:13:29    -1604.311133        1.595000
FIRE:   43 23:13:30    -1604.331547        2.013787
FIRE:   44 23:13:32    -1604.352435        3.271370
FIRE:   45 23:13:34    -1604.369264        1.511943
FIRE:   46 23:13:36    -1604.389077        1.093476
FIRE:   47 23:13:37    -1604.411445        1.157427
FIRE:   48 23:13:40    -1604.434864        1.122357
FIRE:   49 23:13:43    -1604.457928        1.115218
FIRE:   50 23:13:44    -1604.479916        1.021957
FIRE:   51 23:13:46    -1604.500703        1.115422
FIRE:   52 23:13:48    -1604.520481        1.167464
FIRE:   53 23:13:51    -1604.539511        1.179184
FIRE:   54 23:13:53    -1604.557954        1.157675
FIRE:   55 23:13:55    -1604.575857        1.106632
FIRE:   56 23:13:57    -1604.593255        1.064975
FIRE:   57 23:13:59    -1604.610253        1.092531
FIRE:   58 23:14:01    -1604.627026        1.102371
FIRE:   59 23:14:03    -1604.643745        1.109111
FIRE:   60 23:14:05    -1604.660549        1.117170
FIRE:   61 23:14:08    -1604.677567        1.124506
FIRE:   62 23:14:10    -1604.694935        1.127005
FIRE:   63 23:14:13    -1604.712815        1.119707
FIRE:   64 23:14:15    -1604.731403        1.096873
FIRE:   65 23:14:16    -1604.750927        1.052949
FIRE:   66 23:14:19    -1604.771624        0.987637
FIRE:   67 23:14:21    -1604.793691        0.909464
FIRE:   68 23:14:23    -1604.817239        0.909460
FIRE:   69 23:14:25    -1604.842311        0.938665
FIRE:   70 23:14:27    -1604.868930        0.865896
FIRE:   71 23:14:29    -1604.897176        0.792018
FIRE:   72 23:14:31    -1604.927238        0.828944
FIRE:   73 23:14:33    -1604.959414        0.867787
FIRE:   74 23:14:35    -1604.994057        0.907954
FIRE:   75 23:14:36    -1605.031517        0.952494
FIRE:   76 23:14:38    -1605.072110        1.002609
FIRE:   77 23:14:40    -1605.116144        1.060717
FIRE:   78 23:14:42    -1605.163959        1.128730
FIRE:   79 23:14:45    -1605.215924        1.208563
FIRE:   80 23:14:48    -1605.272413        1.299883
FIRE:   81 23:14:50    -1605.333744        1.404580
FIRE:   82 23:14:51    -1605.399967        1.516409
FIRE:   83 23:14:53    -1605.470420        1.625344
FIRE:   84 23:14:58    -1605.543467        1.721871
FIRE:   85 23:15:00    -1605.617305        1.808579
FIRE:   86 23:15:03    -1605.690146        1.871308
FIRE:   87 23:15:06    -1605.759454        1.893108
FIRE:   88 23:15:07    -1605.822513        1.870040
FIRE:   89 23:15:09    -1605.877223        1.803263
FIRE:   90 23:15:11    -1605.922552        1.696129
FIRE:   91 23:15:13    -1605.959015        1.559161
FIRE:   92 23:15:15    -1605.989166        1.410481
FIRE:   93 23:15:16    -1606.017337        1.272498
FIRE:   94 23:15:18    -1606.048364        1.417568
FIRE:   95 23:15:20    -1606.085859        1.445034
FIRE:   96 23:15:23    -1606.131001        1.326426
FIRE:   97 23:15:24    -1606.182398        1.116066
FIRE:   98 23:15:27    -1606.237159        1.177032
FIRE:   99 23:15:29    -1606.292274        1.257068
FIRE:  100 23:15:30    -1606.345776        1.347282
