attempt,endpoint_index,temperature_K,E_elec_kcal_mol,ZPVE_kcal_mol,G_qRRHO_1M_kcal_mol,S_qRRHO_cal_mol_K,cutoff_cm1,is_activation_free_energy
attempt_01_cluster_seed_02,0,298.15,-37150.64408540342,224.32224920503262,-36954.64197186825,149.22084360064903,100.0,False
attempt_01_cluster_seed_02,0,340.0,-37150.64408540342,224.32224920503262,-36960.397749860764,159.8169514462532,100.0,False
attempt_01_cluster_seed_02,0,350.0,-37150.64408540342,224.32224920503262,-36961.83686712364,162.34252123196796,100.0,False
attempt_01_cluster_seed_02,0,360.0,-37150.64408540342,224.32224920503262,-36963.30058014535,164.86468620233225,100.0,False
attempt_01_cluster_seed_02,0,370.0,-37150.64408540342,224.32224920503262,-36964.78887365588,167.38289676068229,100.0,False
attempt_01_cluster_seed_02,0,380.0,-37150.64408540342,224.32224920503262,-36966.30172533701,169.8965783443653,100.0,False
attempt_01_cluster_seed_02,0,383.15,-37150.64408540342,224.32224920503262,-36966.78335541264,170.68735624428518,100.0,False
attempt_01_cluster_seed_02,0,390.0,-37150.64408540342,224.32224920503262,-36967.8391057671,172.4051429722299,100.0,False
attempt_01_cluster_seed_02,0,400.0,-37150.64408540342,224.32224920503262,-36969.40097845613,174.90799907460664,100.0,False
attempt_01_cluster_seed_02,0,410.0,-37150.64408540342,224.32224920503262,-36970.987299957036,177.4045597398336,100.0,False
attempt_01_cluster_seed_02,0,420.0,-37150.64408540342,224.32224920503262,-36972.598020039964,179.89424952062222,100.0,False
attempt_01_cluster_seed_02,0,430.0,-37150.64408540342,224.32224920503262,-36974.23308191767,182.3765099465229,100.0,False
attempt_01_cluster_seed_02,0,440.0,-37150.64408540342,224.32224920503262,-36975.89242251125,184.85080388696514,100.0,False
attempt_01_cluster_seed_02,1,298.15,-37135.63784584303,221.55757309177375,-36943.707075168284,157.31062000834882,100.0,False
attempt_01_cluster_seed_02,1,340.0,-37135.63784584303,221.55757309177375,-36949.7426598549,168.17339126606055,100.0,False
attempt_01_cluster_seed_02,1,350.0,-37135.63784584303,221.55757309177375,-36951.250116273586,170.75127843753071,100.0,False
attempt_01_cluster_seed_02,1,360.0,-37135.63784584303,221.55757309177375,-36952.782655740295,173.32185545096755,100.0,False
attempt_01_cluster_seed_02,1,370.0,-37135.63784584303,221.55757309177375,-36954.3402263508,175.8847936050322,100.0,False
attempt_01_cluster_seed_02,1,380.0,-37135.63784584303,221.55757309177375,-36955.92277117644,178.4397295271645,100.0,False
attempt_01_cluster_seed_02,1,383.15,-37135.63784584303,221.55757309177375,-36956.42643548813,179.24281567044537,100.0,False
attempt_01_cluster_seed_02,1,390.0,-37135.63784584303,221.55757309177375,-36957.53022812973,180.98627684715194,100.0,False
attempt_01_cluster_seed_02,1,400.0,-37135.63784584303,221.55757309177375,-36959.16252991916,183.52403615526916,100.0,False
attempt_01_cluster_seed_02,1,410.0,-37135.63784584303,221.55757309177375,-36960.819604079195,186.05260339461816,100.0,False
attempt_01_cluster_seed_02,1,420.0,-37135.63784584303,221.55757309177375,-36962.50137306327,188.5715768392829,100.0,False
attempt_01_cluster_seed_02,1,430.0,-37135.63784584303,221.55757309177375,-36964.20775438816,191.08056280779613,100.0,False
attempt_01_cluster_seed_02,1,440.0,-37135.63784584303,221.55757309177375,-36965.938660819585,193.57918025620677,100.0,False
attempt_02_cluster_seed_01,0,298.15,-37148.57298460553,224.11568467234292,-36952.882335218215,150.10764978984835,100.0,False
attempt_02_cluster_seed_01,0,340.0,-37148.57298460553,224.11568467234292,-36958.65886345116,160.71652685282677,100.0,False
