
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:35:39 2026
Timers Off: Sun Sep 13 22:35:47 2026

Wall Time:        8.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.033w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.023w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.060w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.114w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.016w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.232w      2 calls
SAD Guess                           :      0.000u      0.000s      0.228w      2 calls
HF: Form G                          :      0.000u      0.000s      4.316w     37 calls
UV: Form V                          :      0.000u      0.000s      4.265w     37 calls
Properties                          :      0.988p                          14664 calls
Functional                          :      5.387p                          14664 calls
V_xc                                :      2.591p                          13912 calls
JK: D                               :      0.000u      0.000s      0.001w     37 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     37 calls
JK: JK                              :      0.000u      0.000s      0.042w     37 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.041w     37 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     37 calls
DFH: compute_J                      :      0.000u      0.000s      0.019w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.005w     37 calls
HF: Form D                          :      0.000u      0.000s      0.001w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.838w     35 calls
HF: Form C                          :      0.000u      0.000s      0.054w     35 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.233w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.042w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.057w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.009w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.109w      2 calls
Grad: XC                            :      0.000u      0.000s      0.404w      2 calls
V_xc gradient                       :      0.286p                            752 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.033w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.023w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.114w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.016w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.232w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.228w      2 calls
HF: Form G                          :      0.000u      0.000s      4.316w     37 calls
| UV: Form V                        :      0.000u      0.000s      4.265w     37 calls
| | Properties                      :      0.797p                          13912 calls
| | Functional                      :      5.083p                          13912 calls
| | V_xc                            :      2.591p                          13912 calls
| JK: D                             :      0.000u      0.000s      0.001w     37 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     37 calls
| JK: JK                            :      0.000u      0.000s      0.042w     37 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.041w     37 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     37 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.019w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.005w     37 calls
HF: Form D                          :      0.000u      0.000s      0.001w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.838w     35 calls
HF: Form C                          :      0.000u      0.000s      0.054w     35 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.233w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.042w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.057w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.009w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.109w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      2 calls
Grad: XC                            :      0.000u      0.000s      0.404w      2 calls
| Properties                        :      0.192p                            752 calls
| Functional                        :      0.303p                            752 calls
| V_xc gradient                     :      0.286p                            752 calls

**************************************************************************************
