
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:35:07 2026
Timers Off: Sun Sep 13 22:35:15 2026

Wall Time:        7.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.033w      2 calls
build grid                          :      0.000u      0.000s      0.019w      2 calls
post-process grid                   :      0.000u      0.000s      0.013w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.020w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.049w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.088w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.013w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.182w      2 calls
SAD Guess                           :      0.000u      0.000s      0.178w      2 calls
HF: Form G                          :      0.000u      0.000s      3.826w     36 calls
UV: Form V                          :      0.000u      0.000s      3.772w     36 calls
Properties                          :      0.707p                          14174 calls
Functional                          :      4.597p                          14174 calls
V_xc                                :      2.559p                          13428 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.046w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.046w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.016w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.760w     34 calls
HF: Form C                          :      0.000u      0.000s      0.047w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.188w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.031w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.045w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.092w      2 calls
Grad: XC                            :      0.000u      0.000s      0.330w      2 calls
V_xc gradient                       :      0.274p                            746 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.033w      2 calls
| build grid                        :      0.000u      0.000s      0.019w      2 calls
| post-process grid                 :      0.000u      0.000s      0.013w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.020w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.088w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.011w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.013w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.182w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.178w      2 calls
HF: Form G                          :      0.000u      0.000s      3.826w     36 calls
| UV: Form V                        :      0.000u      0.000s      3.772w     36 calls
| | Properties                      :      0.578p                          13428 calls
| | Functional                      :      4.361p                          13428 calls
| | V_xc                            :      2.559p                          13428 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.046w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.046w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.016w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.760w     34 calls
HF: Form C                          :      0.000u      0.000s      0.047w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.188w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.031w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.011w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.045w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.092w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.012w      2 calls
Grad: XC                            :      0.000u      0.000s      0.330w      2 calls
| Properties                        :      0.130p                            746 calls
| Functional                        :      0.236p                            746 calls
| V_xc gradient                     :      0.274p                            746 calls

**************************************************************************************
