
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:36:56 2026
Timers Off: Sun Sep 13 22:37:03 2026

Wall Time:        7.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.030w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.013w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.056w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.103w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.014w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.008w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.226w      2 calls
SAD Guess                           :      0.000u      0.000s      0.222w      2 calls
HF: Form G                          :      0.000u      0.000s      3.847w     36 calls
UV: Form V                          :      0.000u      0.000s      3.799w     36 calls
Properties                          :      0.751p                          14364 calls
Functional                          :      4.607p                          14364 calls
V_xc                                :      2.571p                          13608 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.039w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.038w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.018w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.830w     34 calls
HF: Form C                          :      0.000u      0.000s      0.050w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.192w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.033w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.048w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.090w      2 calls
Grad: XC                            :      0.000u      0.000s      0.348w      2 calls
V_xc gradient                       :      0.284p                            756 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.030w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.013w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.103w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.014w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.008w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.226w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.222w      2 calls
HF: Form G                          :      0.000u      0.000s      3.847w     36 calls
| UV: Form V                        :      0.000u      0.000s      3.799w     36 calls
| | Properties                      :      0.611p                          13608 calls
| | Functional                      :      4.355p                          13608 calls
| | V_xc                            :      2.571p                          13608 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.039w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.038w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.018w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.830w     34 calls
HF: Form C                          :      0.000u      0.000s      0.050w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.192w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.033w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.048w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.090w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
Grad: XC                            :      0.000u      0.000s      0.348w      2 calls
| Properties                        :      0.140p                            756 calls
| Functional                        :      0.252p                            756 calls
| V_xc gradient                     :      0.284p                            756 calls

**************************************************************************************
