
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:32:41 2026
Timers Off: Sun Sep 13 22:32:50 2026

Wall Time:        9.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.034w      2 calls
build grid                          :      0.000u      0.000s      0.020w      2 calls
post-process grid                   :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.024w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.063w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.109w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.015w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.008w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.247w      2 calls
SAD Guess                           :      0.000u      0.000s      0.243w      2 calls
HF: Form G                          :      0.000u      0.000s      4.422w     35 calls
UV: Form V                          :      0.000u      0.000s      4.373w     35 calls
Properties                          :      1.052p                          13949 calls
Functional                          :      5.561p                          13949 calls
V_xc                                :      2.568p                          13195 calls
JK: D                               :      0.000u      0.000s      0.001w     35 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     35 calls
JK: JK                              :      0.000u      0.000s      0.040w     35 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.040w     35 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     35 calls
DFH: compute_J                      :      0.000u      0.000s      0.019w     35 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.000u      0.000s      0.003w     35 calls
HF: Form D                          :      0.000u      0.000s      0.001w     35 calls
HF: DIIS                            :      0.000u      0.000s      1.024w     33 calls
HF: Form C                          :      0.000u      0.000s      0.051w     33 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.233w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.040w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.059w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.009w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.107w      2 calls
Grad: XC                            :      0.000u      0.000s      0.414w      2 calls
V_xc gradient                       :      0.306p                            754 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.034w      2 calls
| build grid                        :      0.000u      0.000s      0.020w      2 calls
| post-process grid                 :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.024w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.109w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.015w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.008w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.247w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.243w      2 calls
HF: Form G                          :      0.000u      0.000s      4.422w     35 calls
| UV: Form V                        :      0.000u      0.000s      4.373w     35 calls
| | Properties                      :      0.858p                          13195 calls
| | Functional                      :      5.262p                          13195 calls
| | V_xc                            :      2.568p                          13195 calls
| JK: D                             :      0.000u      0.000s      0.001w     35 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     35 calls
| JK: JK                            :      0.000u      0.000s      0.040w     35 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.040w     35 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     35 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.019w     35 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.000u      0.000s      0.003w     35 calls
HF: Form D                          :      0.000u      0.000s      0.001w     35 calls
HF: DIIS                            :      0.000u      0.000s      1.024w     33 calls
HF: Form C                          :      0.000u      0.000s      0.051w     33 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.233w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.040w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.014w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.059w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.009w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.107w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      2 calls
Grad: XC                            :      0.000u      0.000s      0.414w      2 calls
| Properties                        :      0.194p                            754 calls
| Functional                        :      0.299p                            754 calls
| V_xc gradient                     :      0.306p                            754 calls

**************************************************************************************
