
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:34:41 2026
Timers Off: Sun Sep 13 22:34:49 2026

Wall Time:        7.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
build grid                          :      0.000u      0.000s      0.018w      2 calls
post-process grid                   :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.024w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.057w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.100w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.015w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.201w      2 calls
SAD Guess                           :      0.000u      0.000s      0.197w      2 calls
HF: Form G                          :      0.000u      0.000s      3.890w     36 calls
UV: Form V                          :      0.000u      0.000s      3.848w     36 calls
Properties                          :      0.757p                          14250 calls
Functional                          :      4.690p                          14250 calls
V_xc                                :      2.607p                          13500 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.035w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.035w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.016w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.004w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.821w     34 calls
HF: Form C                          :      0.000u      0.000s      0.050w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.205w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.039w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.049w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.097w      2 calls
Grad: XC                            :      0.000u      0.000s      0.369w      2 calls
V_xc gradient                       :      0.294p                            750 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
| build grid                        :      0.000u      0.000s      0.018w      2 calls
| post-process grid                 :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.024w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.100w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.015w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.201w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.197w      2 calls
HF: Form G                          :      0.000u      0.000s      3.890w     36 calls
| UV: Form V                        :      0.000u      0.000s      3.848w     36 calls
| | Properties                      :      0.601p                          13500 calls
| | Functional                      :      4.422p                          13500 calls
| | V_xc                            :      2.607p                          13500 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.035w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.035w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.016w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.004w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.821w     34 calls
HF: Form C                          :      0.000u      0.000s      0.050w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.205w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.039w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.012w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.049w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.097w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
Grad: XC                            :      0.000u      0.000s      0.369w      2 calls
| Properties                        :      0.156p                            750 calls
| Functional                        :      0.267p                            750 calls
| V_xc gradient                     :      0.294p                            750 calls

**************************************************************************************
