
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:33:47 2026
Timers Off: Sun Sep 13 22:33:55 2026

Wall Time:        8.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
build grid                          :      0.000u      0.000s      0.018w      2 calls
post-process grid                   :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.023w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.060w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.102w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.016w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.223w      2 calls
SAD Guess                           :      0.000u      0.000s      0.218w      2 calls
HF: Form G                          :      0.000u      0.000s      4.520w     37 calls
UV: Form V                          :      0.000u      0.000s      4.468w     37 calls
Properties                          :      1.059p                          14625 calls
Functional                          :      5.657p                          14625 calls
V_xc                                :      2.660p                          13875 calls
JK: D                               :      0.000u      0.000s      0.001w     37 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     37 calls
JK: JK                              :      0.000u      0.000s      0.044w     37 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.044w     37 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     37 calls
DFH: compute_J                      :      0.000u      0.000s      0.021w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.003w     37 calls
HF: Form D                          :      0.000u      0.000s      0.001w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.928w     35 calls
HF: Form C                          :      0.000u      0.000s      0.055w     35 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.240w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.041w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.062w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.110w      2 calls
Grad: XC                            :      0.000u      0.000s      0.420w      2 calls
V_xc gradient                       :      0.307p                            750 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
| build grid                        :      0.000u      0.000s      0.018w      2 calls
| post-process grid                 :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.023w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.102w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.016w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.223w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.218w      2 calls
HF: Form G                          :      0.000u      0.000s      4.520w     37 calls
| UV: Form V                        :      0.000u      0.000s      4.468w     37 calls
| | Properties                      :      0.860p                          13875 calls
| | Functional                      :      5.349p                          13875 calls
| | V_xc                            :      2.660p                          13875 calls
| JK: D                             :      0.000u      0.000s      0.001w     37 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     37 calls
| JK: JK                            :      0.000u      0.000s      0.044w     37 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.044w     37 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     37 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.021w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.003w     37 calls
HF: Form D                          :      0.000u      0.000s      0.001w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.928w     35 calls
HF: Form C                          :      0.000u      0.000s      0.055w     35 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.240w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.041w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.062w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.110w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      2 calls
Grad: XC                            :      0.000u      0.000s      0.420w      2 calls
| Properties                        :      0.199p                            750 calls
| Functional                        :      0.308p                            750 calls
| V_xc gradient                     :      0.307p                            750 calls

**************************************************************************************
