
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:32:22 2026
Timers Off: Sun Sep 13 22:32:31 2026

Wall Time:        9.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.036w      2 calls
build grid                          :      0.000u      0.000s      0.019w      2 calls
post-process grid                   :      0.000u      0.000s      0.016w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.047w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.083w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.117w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.016w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      2 calls
HF: Guess                           :      0.000u      0.000s      0.242w      2 calls
SAD Guess                           :      0.000u      0.000s      0.237w      2 calls
HF: Form G                          :      0.000u      0.000s      4.406w     36 calls
UV: Form V                          :      0.000u      0.000s      4.358w     36 calls
Properties                          :      1.005p                          14478 calls
Functional                          :      5.574p                          14478 calls
V_xc                                :      2.621p                          13716 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.040w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.040w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.019w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.985w     34 calls
HF: Form C                          :      0.000u      0.000s      0.056w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.006w      2 calls
Grad: S                             :      0.000u      0.000s      0.003w      2 calls
Grad: JK                            :      0.000u      0.000s      0.273w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.039w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.065w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.017w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.136w      2 calls
Grad: XC                            :      0.000u      0.000s      0.437w      2 calls
V_xc gradient                       :      0.303p                            762 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.036w      2 calls
| build grid                        :      0.000u      0.000s      0.019w      2 calls
| post-process grid                 :      0.000u      0.000s      0.016w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.047w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.038w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.117w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.016w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      2 calls
HF: Guess                           :      0.000u      0.000s      0.242w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.237w      2 calls
HF: Form G                          :      0.000u      0.000s      4.406w     36 calls
| UV: Form V                        :      0.000u      0.000s      4.358w     36 calls
| | Properties                      :      0.797p                          13716 calls
| | Functional                      :      5.242p                          13716 calls
| | V_xc                            :      2.621p                          13716 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.040w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.040w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.019w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.985w     34 calls
HF: Form C                          :      0.000u      0.000s      0.056w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.006w      2 calls
Grad: S                             :      0.000u      0.000s      0.003w      2 calls
Grad: JK                            :      0.000u      0.000s      0.273w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.039w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.065w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.017w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.136w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.018w      2 calls
Grad: XC                            :      0.000u      0.000s      0.437w      2 calls
| Properties                        :      0.208p                            762 calls
| Functional                        :      0.332p                            762 calls
| V_xc gradient                     :      0.303p                            762 calls

**************************************************************************************
