
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:34:24 2026
Timers Off: Sun Sep 13 22:34:32 2026

Wall Time:        8.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.029w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.013w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.020w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.057w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.105w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.014w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.213w      2 calls
SAD Guess                           :      0.000u      0.000s      0.209w      2 calls
HF: Form G                          :      0.000u      0.000s      4.012w     36 calls
UV: Form V                          :      0.000u      0.000s      3.970w     36 calls
Properties                          :      0.807p                          14364 calls
Functional                          :      4.866p                          14364 calls
V_xc                                :      2.649p                          13608 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.036w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.036w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.016w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.855w     34 calls
HF: Form C                          :      0.000u      0.000s      0.050w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.226w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.041w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.061w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.009w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.099w      2 calls
Grad: XC                            :      0.000u      0.000s      0.371w      2 calls
V_xc gradient                       :      0.290p                            756 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.029w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.013w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.020w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.105w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.014w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.213w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.209w      2 calls
HF: Form G                          :      0.000u      0.000s      4.012w     36 calls
| UV: Form V                        :      0.000u      0.000s      3.970w     36 calls
| | Properties                      :      0.644p                          13608 calls
| | Functional                      :      4.599p                          13608 calls
| | V_xc                            :      2.649p                          13608 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.036w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.036w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.016w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.855w     34 calls
HF: Form C                          :      0.000u      0.000s      0.050w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.226w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.041w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.061w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.009w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.099w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
Grad: XC                            :      0.000u      0.000s      0.371w      2 calls
| Properties                        :      0.163p                            756 calls
| Functional                        :      0.266p                            756 calls
| V_xc gradient                     :      0.290p                            756 calls

**************************************************************************************
