
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:34:33 2026
Timers Off: Sun Sep 13 22:34:41 2026

Wall Time:        8.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.021w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.057w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.115w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.015w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.205w      2 calls
SAD Guess                           :      0.000u      0.000s      0.200w      2 calls
HF: Form G                          :      0.000u      0.000s      4.022w     36 calls
UV: Form V                          :      0.000u      0.000s      3.977w     36 calls
Properties                          :      0.830p                          14250 calls
Functional                          :      4.894p                          14250 calls
V_xc                                :      2.599p                          13500 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.036w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.036w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.017w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.833w     34 calls
HF: Form C                          :      0.000u      0.000s      0.051w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.214w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.037w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.053w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.100w      2 calls
Grad: XC                            :      0.000u      0.000s      0.377w      2 calls
V_xc gradient                       :      0.289p                            750 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.021w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.115w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.015w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.205w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.200w      2 calls
HF: Form G                          :      0.000u      0.000s      4.022w     36 calls
| UV: Form V                        :      0.000u      0.000s      3.977w     36 calls
| | Properties                      :      0.661p                          13500 calls
| | Functional                      :      4.621p                          13500 calls
| | V_xc                            :      2.599p                          13500 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.036w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.036w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.017w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.833w     34 calls
HF: Form C                          :      0.000u      0.000s      0.051w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.214w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.037w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.053w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.100w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.014w      2 calls
Grad: XC                            :      0.000u      0.000s      0.377w      2 calls
| Properties                        :      0.169p                            750 calls
| Functional                        :      0.273p                            750 calls
| V_xc gradient                     :      0.289p                            750 calls

**************************************************************************************
