
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:36:47 2026
Timers Off: Sun Sep 13 22:36:55 2026

Wall Time:        7.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.054w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.098w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.014w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.211w      2 calls
SAD Guess                           :      0.000u      0.000s      0.207w      2 calls
HF: Form G                          :      0.000u      0.000s      3.998w     37 calls
UV: Form V                          :      0.000u      0.000s      3.948w     37 calls
Properties                          :      0.796p                          14586 calls
Functional                          :      4.814p                          14586 calls
V_xc                                :      2.621p                          13838 calls
JK: D                               :      0.000u      0.000s      0.001w     37 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     37 calls
JK: JK                              :      0.000u      0.000s      0.041w     37 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.041w     37 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     37 calls
DFH: compute_J                      :      0.000u      0.000s      0.020w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.004w     37 calls
HF: Form D                          :      0.000u      0.000s      0.001w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.851w     35 calls
HF: Form C                          :      0.000u      0.000s      0.050w     35 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.220w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.035w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.055w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.103w      2 calls
Grad: XC                            :      0.000u      0.000s      0.355w      2 calls
V_xc gradient                       :      0.280p                            748 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.032w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.098w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.014w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.211w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.207w      2 calls
HF: Form G                          :      0.000u      0.000s      3.998w     37 calls
| UV: Form V                        :      0.000u      0.000s      3.948w     37 calls
| | Properties                      :      0.647p                          13838 calls
| | Functional                      :      4.555p                          13838 calls
| | V_xc                            :      2.621p                          13838 calls
| JK: D                             :      0.000u      0.000s      0.001w     37 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     37 calls
| JK: JK                            :      0.000u      0.000s      0.041w     37 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.041w     37 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     37 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.020w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.004w     37 calls
HF: Form D                          :      0.000u      0.000s      0.001w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.851w     35 calls
HF: Form C                          :      0.000u      0.000s      0.050w     35 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.220w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.035w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.012w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.055w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.103w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
Grad: XC                            :      0.000u      0.000s      0.355w      2 calls
| Properties                        :      0.150p                            748 calls
| Functional                        :      0.259p                            748 calls
| V_xc gradient                     :      0.280p                            748 calls

**************************************************************************************
