
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:33:20 2026
Timers Off: Sun Sep 13 22:33:28 2026

Wall Time:        8.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.035w      2 calls
build grid                          :      0.000u      0.000s      0.019w      2 calls
post-process grid                   :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.023w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.058w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.102w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.016w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.220w      2 calls
SAD Guess                           :      0.000u      0.000s      0.216w      2 calls
HF: Form G                          :      0.000u      0.000s      4.273w     36 calls
UV: Form V                          :      0.000u      0.000s      4.230w     36 calls
Properties                          :      0.899p                          14212 calls
Functional                          :      5.242p                          14212 calls
V_xc                                :      2.716p                          13464 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.035w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.035w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.016w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.936w     34 calls
HF: Form C                          :      0.000u      0.000s      0.053w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.218w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.038w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.059w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.008w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.099w      2 calls
Grad: XC                            :      0.000u      0.000s      0.395w      2 calls
V_xc gradient                       :      0.311p                            748 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.035w      2 calls
| build grid                        :      0.000u      0.000s      0.019w      2 calls
| post-process grid                 :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.023w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.102w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.016w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.220w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.216w      2 calls
HF: Form G                          :      0.000u      0.000s      4.273w     36 calls
| UV: Form V                        :      0.000u      0.000s      4.230w     36 calls
| | Properties                      :      0.731p                          13464 calls
| | Functional                      :      4.956p                          13464 calls
| | V_xc                            :      2.716p                          13464 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.035w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.035w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.016w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.936w     34 calls
HF: Form C                          :      0.000u      0.000s      0.053w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.218w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.038w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.059w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.008w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.099w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.014w      2 calls
Grad: XC                            :      0.000u      0.000s      0.395w      2 calls
| Properties                        :      0.168p                            748 calls
| Functional                        :      0.287p                            748 calls
| V_xc gradient                     :      0.311p                            748 calls

**************************************************************************************
