catalyst_id,multiplicity_low,multiplicity_high,status,gap_high_minus_low_hartree,spin_contamination_flag,mecp_status
Co_bipyridine_pnnoh_Ph,1,3,missing_or_failed_state,,,not_searched
Co_bipyridine_pnnoh_Ph,1,5,missing_or_failed_state,,,not_searched
Co_bipyridine_pnnoh_Ph,3,5,missing_or_failed_state,,,not_searched
Co_bipyridine_pnnoh_iPr,1,3,missing_or_failed_state,,,not_searched
Co_bipyridine_pnnoh_iPr,1,5,missing_or_failed_state,,,not_searched
Co_bipyridine_pnnoh_iPr,3,5,missing_or_failed_state,,,not_searched
Co_macho_pnp_Ph,1,3,missing_or_failed_state,,,not_searched
Co_macho_pnp_Ph,1,5,missing_or_failed_state,,,not_searched
Co_macho_pnp_Ph,3,5,missing_or_failed_state,,,not_searched
Co_macho_pnp_iPr,1,3,missing_or_failed_state,,,not_searched
Co_macho_pnp_iPr,1,5,missing_or_failed_state,,,not_searched
Co_macho_pnp_iPr,3,5,missing_or_failed_state,,,not_searched
Co_pyridine_pnn_Ph,1,3,missing_or_failed_state,,,not_searched
Co_pyridine_pnn_Ph,1,5,missing_or_failed_state,,,not_searched
Co_pyridine_pnn_Ph,3,5,missing_or_failed_state,,,not_searched
Co_pyridine_pnn_iPr,1,3,missing_or_failed_state,,,not_searched
Co_pyridine_pnn_iPr,1,5,missing_or_failed_state,,,not_searched
Co_pyridine_pnn_iPr,3,5,missing_or_failed_state,,,not_searched
Fe_bipyridine_pnnoh_Ph,1,3,missing_or_failed_state,,,not_searched
Fe_bipyridine_pnnoh_Ph,1,5,missing_or_failed_state,,,not_searched
Fe_bipyridine_pnnoh_Ph,3,5,missing_or_failed_state,,,not_searched
Fe_bipyridine_pnnoh_iPr,1,3,computed_vertical_gap,-0.0314591288624797,True,not_searched
Fe_bipyridine_pnnoh_iPr,1,5,missing_or_failed_state,,,not_searched
Fe_bipyridine_pnnoh_iPr,3,5,missing_or_failed_state,,,not_searched
Fe_macho_pnp_Ph,1,3,missing_or_failed_state,,,not_searched
Fe_macho_pnp_Ph,1,5,missing_or_failed_state,,,not_searched
Fe_macho_pnp_Ph,3,5,missing_or_failed_state,,,not_searched
Fe_macho_pnp_iPr,1,3,missing_or_failed_state,,,not_searched
Fe_macho_pnp_iPr,1,5,missing_or_failed_state,,,not_searched
Fe_macho_pnp_iPr,3,5,missing_or_failed_state,,,not_searched
Fe_pyridine_pnn_Ph,1,3,missing_or_failed_state,,,not_searched
Fe_pyridine_pnn_Ph,1,5,missing_or_failed_state,,,not_searched
Fe_pyridine_pnn_Ph,3,5,missing_or_failed_state,,,not_searched
Fe_pyridine_pnn_iPr,1,3,missing_or_failed_state,,,not_searched
Fe_pyridine_pnn_iPr,1,5,missing_or_failed_state,,,not_searched
Fe_pyridine_pnn_iPr,3,5,missing_or_failed_state,,,not_searched
Mn_bipyridine_pnnoh_Ph,1,3,missing_or_failed_state,,,not_searched
Mn_bipyridine_pnnoh_Ph,1,5,missing_or_failed_state,,,not_searched
Mn_bipyridine_pnnoh_Ph,3,5,missing_or_failed_state,,,not_searched
Mn_bipyridine_pnnoh_iPr,1,3,missing_or_failed_state,,,not_searched
Mn_bipyridine_pnnoh_iPr,1,5,missing_or_failed_state,,,not_searched
Mn_bipyridine_pnnoh_iPr,3,5,missing_or_failed_state,,,not_searched
Mn_macho_pnp_Ph,1,3,missing_or_failed_state,,,not_searched
Mn_macho_pnp_Ph,1,5,missing_or_failed_state,,,not_searched
Mn_macho_pnp_Ph,3,5,missing_or_failed_state,,,not_searched
Mn_macho_pnp_iPr,1,3,missing_or_failed_state,,,not_searched
Mn_macho_pnp_iPr,1,5,missing_or_failed_state,,,not_searched
Mn_macho_pnp_iPr,3,5,missing_or_failed_state,,,not_searched
Mn_pyridine_pnn_Ph,1,3,missing_or_failed_state,,,not_searched
Mn_pyridine_pnn_Ph,1,5,missing_or_failed_state,,,not_searched
Mn_pyridine_pnn_Ph,3,5,missing_or_failed_state,,,not_searched
Mn_pyridine_pnn_iPr,1,3,missing_or_failed_state,,,not_searched
Mn_pyridine_pnn_iPr,1,5,missing_or_failed_state,,,not_searched
Mn_pyridine_pnn_iPr,3,5,missing_or_failed_state,,,not_searched
